0,Application/Permit Number,Applicant Name
376,6531781,WATTS ELECTRIC SERVICE INC
377,6531776,"PRECISION ELECTRIC GROUP, INC"
378,6531774,"PRECISION ELECTRIC GROUP, INC"
379,6531777,"FLYING SQUIRREL PIZZA CO., BILL"
380,6531772,FOY GROUP CORPORATION
381,6531771,R F I COMM & SECURITY SYSTEMS
382,6531770,VECA ELECTRIC COMPANY INC
383,6531767,SUNDANCE ENERGY SERVICES INC
384,6531763,R F I COMM & SECURITY SYSTEMS
385,6531757,STATESIDE POWER INCORPORATED
386,6531755,TYCO INTEGRATED SECURITY LLC
387,6531754,LINEAR ELECTRIC LLC
388,6531656,"TOFOLEANU, TEODOR"
389,6531749,VECA ELECTRIC COMPANY INC
390,6531746,VECA ELECTRIC COMPANY INC
391,6531745,JACKOWSKI ELECTRIC
392,6531748,SONITROL PACIFIC
393,6531744,TITAN ELECTRIC INC
394,6531679,WASHINGTON ENERGY SVCS CO LLC
395,6531673,WASHINGTON ENERGY SVCS CO LLC
396,6531735,SME INC OF SEATTLE
397,6531734,SME INC OF SEATTLE
398,6531725,M M COMFORT SYSTEMS
399,6531731,EMERALD AIRE INCORPORATED
400,6531730,EVERGREEN TECHNOLOGIES INC
401,6531720,ACTIVE ENGINEERING
402,6531718,ELECTRICAL EXPRESS SEATTLE INC
403,6531716,ACTIVE ENGINEERING
404,6531711,
405,6531710,SEATOWN ELECTRIC CORP
406,6531708,SEQUOYAH ELECTRIC LLC
407,6531707,POINTER ELECTRIC INCORPORATED
408,6531706,
409,6531705,
410,6531704,
411,6531702,THOMPSON ELECT CONSTRS INC
412,6531700,GARNER ELECTRIC WASHINGTON LLC
413,6531699,HAMMER ELECTRIC INC
414,6531694,"BARK, ROGER"
415,6531693,"BARK, ROGER"
416,6531692,"BARK, ROGER"
417,6531691,"BARK, ROGER"
418,6531690,"BARK, ROGER"
419,6531689,"BARK, ROGER"
420,6531688,"BARK, ROGER"
421,6531697,MACDONALD-MILLER SERVICE INC
422,6531687,"BARK, ROGER"
423,6531684,"BARK, ROGER"
424,6531682,TYCO INTEGRATED SECURITY LLC
425,6531681,ACCO ES DBA BELLEVUE MECH
426,6531668,"EVERGREEN POWER SYSTEMS, INC"
427,6531678,GROUNDED CONSTRUCTION LLC
428,6531667,VALLEY ELEC CO OF MTVERNON INC
429,6531664,HI VOLTS ELECTRIC LLC
430,6531663,SWITCH ELECTRIC LLC
431,6531663,SWITCH ELECTRIC LLC
432,6531662,KLEPPS INC
433,6531661,VOLT ELECTRIC LLC
434,6531660,MTS SERVICES LLC
435,6531659,OVERLAKE ELECTRIC INCORPORATED
436,6531659,OVERLAKE ELECTRIC INCORPORATED
437,6531658,VECA ELECTRIC COMPANY INC
438,6531657,"TOFOLEANU, TEODOR"
439,6531655,JUSTIN REICH
440,6531654,ADT LLC
441,6531652,LIVE WIRE ELECTRIC
442,6531652,LIVE WIRE ELECTRIC
443,6531651,CBK ELECTRICAL INC
444,6531649,CBK ELECTRICAL INC
445,6531648,"FLYNN, ERIN"
446,6531647,ION TECHNOLOGY LLC
447,6531646,STEELHEAD ELECTRIC LLC
448,6531645,SOUTH LAKE ELECTRIC LLC
449,6531645,SOUTH LAKE ELECTRIC LLC
450,6531644,RESTORATION POWER LLC
451,6531643,AUSTECH ELECTRIC
452,6531641,STATIC ELECTRIC INC
453,6531640,ALT ELECTRIC LLC
454,6531639,ALT ELECTRIC LLC
455,6531638,ALT ELECTRIC LLC
456,6531637,STATIC ELECTRIC INC
457,6531635,D & K ELECTRIC INC
458,6531634,"ISOLA HOMES,"
459,6531633,"ISOLA HOMES,"
460,6531631,"LAM, LE"
461,6531630,MR ELECTRIC OF GREATER SEATTLE
462,6531629,ASAHI ELECTRIC INC
463,6531628,TROY'S ELECTRIC
464,6531627,ASAHI ELECTRIC INC
465,6531626,ASAHI ELECTRIC INC
466,6531625,MR ELECTRIC OF GREATER SEATTLE
467,6531624,ASAHI ELECTRIC INC
468,6531622,EXACT ELECTRIC LLC
469,6531611,"SAFETY TEAM INCORPORATED, THE"
470,6531610,D & A ELECTRIC LLC
471,6531609,EVERGREEN SECURITY INC
472,6531604,POWER SOLUTIONS ELECTRIC LLC
473,6531607,COCHRAN INCORPORATED
474,6531602,POWER SOLUTIONS ELECTRIC LLC
475,6531603,GLENDALE HEATING & A/C
476,6531599,"AMERICAN HOME ALARMS, INC"
477,6528017,PK ELECTRIC
478,6531448,BLUE FLAME HTG & AIR CNDTNG
479,6531452,BLUE FLAME HTG & AIR CNDTNG
480,6531225,WASHINGTON ENERGY SVCS CO LLC
481,6531593,LARRY'S ELECTRIC
482,6531591,S E S INCORPORATED
483,6531590,HOLMES ELECTRIC COMPANY
484,6531588,E C COMPANY
485,6531142,AIRCON ELECTRIC LLC
486,6531583,AAA FIRE & SAFETY INC
487,6531581,GALAXY ELECTRIC & SOLAR LLC
488,6531581,GALAXY ELECTRIC & SOLAR LLC
489,6531579,"MISHRA, APURVA"
490,6531580,EVERGREEN REFRIGERATION LLC
491,6531578,ADT LLC
492,6531575,GUARDIAN SECURITY SYSTEMS INC
493,6531572,A&A ELECTRIC
494,6531568,VOLT ELECTRIC LLC
495,6531566,MERIDIAN CENTER ELECTRIC INC
496,6531563,VOLT ELECTRIC LLC
497,6531560,KEMLY ELECTRIC INCORPORATED
498,6531558,VOLT ELECTRIC LLC
499,6531556,ADT LLC
500,6531553,"COLLZ, INC,"
501,6531549,OVERLAKE ELECTRIC INCORPORATED
502,6531541,M M COMFORT SYSTEMS
503,6531546,OBOT ELECTRIC LLC
504,6531535,M M COMFORT SYSTEMS
505,6531544,SEATOWN ELECTRIC CORP
506,6531540,PUGET SOUND SOLAR LLC
507,6531539,GUARDIAN SECURITY SYSTEMS INC
508,6531531,ADT LLC
509,6531529,"FLOYD, GERRARD"
510,6531527,SEATOWN ELECTRIC CORP
511,6531524,ADT LLC
512,6531522,AUDIO PLUS LLC
513,6531514,UNITY ELECTRIC LP
514,6531513,ADT LLC
515,6531509,TITAN ELECTRIC INC
516,6531505,PINNACLE ROOFING PROFESS LLC
517,6531504,VECA ELECTRIC COMPANY INC
518,6531503,ADT LLC
519,6531502,AS YOU WISH ELECTRIC
520,6531500,"GOCAN, DAN"
521,6531501,AS YOU WISH ELECTRIC
522,6531501,AS YOU WISH ELECTRIC
523,6531497,EVERGREEN FIRE ALARMS LLC
524,6531499,ADT LLC
525,6531495,PROTECTION &COMMUNICATIONS INC
526,6531498,AS YOU WISH ELECTRIC
527,6531493,LIVE WIRE ELECTRIC
528,6531496,MAURO ELECTRIC INC
529,6531494,MAURO ELECTRIC INC
530,6531487,HI TEK ELECTRIC INC
531,6531486,SOUND SPECIALIZED SERVICES INC
532,6531491,AS YOU WISH ELECTRIC
533,6531485,AS YOU WISH ELECTRIC
534,6531483,AS YOU WISH ELECTRIC
535,6531481,ADT LLC
536,6531480,SEQUOYAH ELECTRIC LLC
537,6531474,GHL ARCHITECTURAL MILLWORK LLC
538,6531477,AS YOU WISH ELECTRIC
539,6531475,EXACT ELECTRIC LLC
540,6531469,SEATAC ELECTRIC INCORPORATED
541,6531466,MILNE ELECTRIC INCORPORATED
542,6531468,WESTON ELECTRIC LLC
543,6531463,OBOT ELECTRIC LLC
544,6531460,EVERGREEN REFRIGERATION LLC
545,6531456,MACDONALD-MILLER SERVICE INC
546,6531395,ELECTRON ELECTRIC INCORPORATED
547,6531386,WIZARD ELECTRIC INCORPORATED
548,6531387,WIZARD ELECTRIC INCORPORATED
549,6531447,AS YOU WISH ELECTRIC
550,6531442,"FAR WEST TECHNOLOGIES,INC"
551,6531441,VOLT ELECTRIC LLC
552,6531440,HOWES CONSTRUCTION INC
553,6531439,AS YOU WISH ELECTRIC
554,6531434,MUZAK LLC
555,6531433,E-Z INTERFACE
556,6531432,AS YOU WISH ELECTRIC
557,6531432,AS YOU WISH ELECTRIC
558,6531431,COCHRAN INCORPORATED
559,6530975,"SCHAEFFER, GARY M."
560,6531429,COCHRAN INCORPORATED
561,6531428,PRIDE ELECTRIC INCORPORATED
562,6531426,PRIDE ELECTRIC INCORPORATED
563,6531424,TITAN ELECTRIC INC
564,6531422,PRIDE ELECTRIC INCORPORATED
565,6531421,ON ELECTRIC GROUP INC
566,6531419,CASCADE INTEGRATION INC
567,6531417,BRENNAN HEATING COMPANY INC
568,6531418,EMERALD AIRE INCORPORATED
569,6531414,"FAR WEST TECHNOLOGIES,INC"
570,6531413,SME INC OF SEATTLE
571,6531407,FOY GROUP CORPORATION
572,6531404,DIMENSIONAL COMMUNICATIONS INC
573,6531403,INTERFACE TECHNOLOGIES NW INC
574,6531402,GUARDIAN SECURITY SYSTEMS INC
575,6531396,SME INC OF SEATTLE
576,6531394,PINNACLE ELECTRIC INC
577,6531392,COCHRAN INCORPORATED
578,6531299,"EVERGREEN POWER SYSTEMS, INC"
579,6531382,ADT LLC
580,6531381,PRO ELECTRIC LLC
581,6531380,ADT LLC
582,6531379,COCHRAN INCORPORATED
583,6531378,ADT LLC
584,6531376,ADT LLC
585,6531375,ADT LLC
586,6531374,ADT LLC
587,6531373,ADT LLC
588,6531372,"CUMMINGS, MAXWELL"
589,6531371,MTS SERVICES LLC
590,6531370,ADT LLC
591,6531369,J & J ELECTRIC LLC
592,6531368,ADT LLC
593,6531367,"CHEN, BETTY"
594,6531366,SWITCH ELECTRIC LLC
595,6531364,BRADLEY ELECTRIC LLC
596,6531362,INTEGRITY ELECT/LIGHTN GRP INC
597,6531360,S E S INCORPORATED
598,6531359,SPRUCE ELECTRIC
599,6531354,ROB'S ELECTRIC INCORPORATED
600,6531353,ROB'S ELECTRIC INCORPORATED
601,6531351,ROB'S ELECTRIC INCORPORATED
602,6531343,INNOVATIVE LOW VOLTAGE LLC
603,6531336,"WHISTLINGCROW, MICHAEL"
604,6531336,"WHISTLINGCROW, MICHAEL"
605,6531338,RICHARD C REED ELECTRIC INC
606,6531333,"WHISTLINGCROW, MICHAEL"
607,6531335,JMP INTEGRATIONS
608,6531332,BOYER ELECTRIC COMPANY INC
609,6531332,BOYER ELECTRIC COMPANY INC
610,6531332,BOYER ELECTRIC COMPANY INC
611,6531330,E C COMPANY
612,6531329,LYNSEN ELECTRONICS CORP
613,6531326,ADT LLC
614,6531320,MERIDIAN CENTER ELECTRIC INC
