id,type of activity
1032,TENANT RELOCATION ORDINANCE
1033,HOUSING / ZONING
1034,CITATION
1035,CONSTRUCTION
1036,HOUSING / ZONING
1037,CITATION
1038,HOUSING / ZONING
1039,CONSTRUCTION
1040,HOUSING / ZONING
1041,CITATION
1042,CITATION
1043,HOUSING / ZONING
1044,HOUSING / ZONING
1045,HOUSING / ZONING
1046,CONSTRUCTION
1047,TENANT RELOCATION ORDINANCE
1048,HOUSING / ZONING
1049,HOUSING / ZONING
1050,HOUSING / ZONING
1051,HOUSING / ZONING
1052,CONSTRUCTION
1053,CITATION
1054,HOUSING / ZONING
1055,HOUSING / ZONING
1056,HOUSING / ZONING
1057,HOUSING / ZONING
1058,CONSTRUCTION
1059,HOUSING / ZONING
1060,CONSTRUCTION
1061,CITATION
1062,CITATION
1063,CITATION
1064,CONSTRUCTION
1065,CITATION
1066,CONSTRUCTION
1067,CITATION
1068,HOUSING / ZONING
1069,TENANT RELOCATION ORDINANCE
1070,HOUSING / ZONING
1071,TENANT RELOCATION ORDINANCE
1072,CITATION
1073,CITATION
1074,CITATION
1075,CITATION
1076,TENANT RELOCATION ORDINANCE
1077,CONSTRUCTION
1078,CITATION
1079,TENANT RELOCATION ORDINANCE
1080,CITATION
1081,HOUSING / ZONING
1082,TENANT RELOCATION ORDINANCE
1083,CITATION
1084,HOUSING / ZONING
1085,HOUSING / ZONING
1086,HOUSING / ZONING
1087,CITATION
1088,CITATION
1089,HOUSING / ZONING
1090,CITATION
1091,CITATION
1092,HOUSING / ZONING
1093,CITATION
1094,CITATION
1095,CONSTRUCTION
1096,CONSTRUCTION
1097,HOUSING / ZONING
1098,CITATION
1099,CONSTRUCTION
1100,HOUSING / ZONING
1101,TENANT RELOCATION ORDINANCE
1102,HOUSING / ZONING
1103,HOUSING / ZONING
1104,HOUSING / ZONING
1105,HOUSING / ZONING
1106,HOUSING / ZONING
1107,TENANT RELOCATION ORDINANCE
1108,TENANT RELOCATION ORDINANCE
1109,TENANT RELOCATION ORDINANCE
1110,CITATION
1111,CITATION
1112,HOUSING / ZONING
1113,CITATION
1114,CITATION
1115,CITATION
1116,CITATION
1117,CONSTRUCTION
1118,CITATION
1119,TENANT RELOCATION ORDINANCE
1120,CITATION
1121,HOUSING / ZONING
1122,TENANT RELOCATION ORDINANCE
1123,CITATION
1124,HOUSING / ZONING
1125,TENANT RELOCATION ORDINANCE
1126,TENANT RELOCATION ORDINANCE
1127,CITATION
1128,TENANT RELOCATION ORDINANCE
1129,CONSTRUCTION
1130,CITATION
1131,CITATION
1132,TENANT RELOCATION ORDINANCE
1133,TENANT RELOCATION ORDINANCE
1134,HOUSING / ZONING
1135,CONSTRUCTION
1136,CONSTRUCTION
1137,HOUSING / ZONING
1138,HOUSING / ZONING
1139,HOUSING / ZONING
1140,HOUSING / ZONING
1141,HOUSING / ZONING
1142,CITATION
1143,CITATION
1144,HOUSING / ZONING
1145,HOUSING / ZONING
1146,CITATION
1147,CITATION
1148,CITATION
1149,HOUSING / ZONING
1150,CONSTRUCTION
1151,HOUSING / ZONING
1152,HOUSING / ZONING
1153,CITATION
1154,HOUSING / ZONING
1155,CONSTRUCTION
1156,CITATION
1157,HOUSING / ZONING
1158,HOUSING / ZONING
1159,CITATION
1160,HOUSING / ZONING
1161,HOUSING / ZONING
1162,HOUSING / ZONING
1163,HOUSING / ZONING
1164,CITATION
1165,CITATION
1166,HOUSING / ZONING
1167,HOUSING / ZONING
1168,HOUSING / ZONING
1169,CONSTRUCTION
1170,CITATION
1171,HOUSING / ZONING
1172,CONSTRUCTION
1173,CONSTRUCTION
1174,CITATION
1175,HOUSING / ZONING
1176,HOUSING / ZONING
1177,HOUSING / ZONING
1178,TENANT RELOCATION ORDINANCE
1179,CITATION
1180,CITATION
1181,HOUSING / ZONING
1182,CITATION
1183,CITATION
1184,CONSTRUCTION
1185,TENANT RELOCATION ORDINANCE
1186,CITATION
1187,HOUSING / ZONING
1188,CONSTRUCTION
1189,CONSTRUCTION
1190,CONSTRUCTION
1191,CITATION
1192,CONSTRUCTION
1193,HOUSING / ZONING
1194,CONSTRUCTION
1195,TENANT RELOCATION ORDINANCE
1196,CITATION
1197,CONSTRUCTION
1198,HOUSING / ZONING
1199,HOUSING / ZONING
1200,CONSTRUCTION
1201,CONSTRUCTION
1202,CITATION
1203,TENANT RELOCATION ORDINANCE
1204,HOUSING / ZONING
1205,CITATION
1206,HOUSING / ZONING
1207,HOUSING / ZONING
1208,CITATION
1209,HOUSING / ZONING
1210,HOUSING / ZONING
1211,HOUSING / ZONING
1212,CITATION
1213,CITATION
1214,CITATION
1215,HOUSING / ZONING
1216,HOUSING / ZONING
1217,CITATION
1218,HOUSING / ZONING
1219,TENANT RELOCATION ORDINANCE
1220,TENANT RELOCATION ORDINANCE
1221,CONSTRUCTION
1222,TENANT RELOCATION ORDINANCE
1223,HOUSING / ZONING
1224,CITATION
1225,TENANT RELOCATION ORDINANCE
1226,HOUSING / ZONING
1227,TENANT RELOCATION ORDINANCE
1228,CONSTRUCTION
1229,HOUSING / ZONING
1230,CITATION
1231,HOUSING / ZONING
1232,CITATION
1233,HOUSING / ZONING
1234,CONSTRUCTION
1235,HOUSING / ZONING
1236,HOUSING / ZONING
1237,HOUSING / ZONING
1238,HOUSING / ZONING
1239,TENANT RELOCATION ORDINANCE
1240,TENANT RELOCATION ORDINANCE
1241,CONSTRUCTION
1242,CITATION
1243,TENANT RELOCATION ORDINANCE
1244,CITATION
1245,CITATION
