id,date,result,case_id
470,3/4/2016,PASSED,
471,3/4/2016,FAILED,
472,3/4/2016,,
473,3/4/2016,PASSED,
474,3/4/2016,FAILED,
475,3/4/2016,FAILED,
476,3/4/2016,PASSED,
477,3/4/2016,,
478,3/4/2016,FAILED,
479,3/4/2016,FAILED,
480,3/3/2016,FAILED,
481,3/3/2016,FAILED,
482,3/3/2016,PASSED,
483,11/6/2015,,
484,3/3/2016,,
485,3/3/2016,FAILED,
486,3/3/2016,FAILED,
487,3/3/2016,PASSED,
488,3/3/2016,,
489,3/3/2016,PASSED,
490,3/3/2016,PASSED,
491,3/3/2016,PASSED,
492,3/3/2016,PASSED,
493,3/2/2016,PASSED,
494,3/2/2016,,
495,3/2/2016,FAILED,
496,3/2/2016,PASSED,
497,3/2/2016,FAILED,
498,3/2/2016,FAILED,
499,3/2/2016,PASSED,
500,3/1/2016,PASSED,
501,3/1/2016,FAILED,
502,2/24/2016,FAILED,
503,3/1/2016,FAILED,
504,3/1/2016,PASSED,
505,3/1/2016,PASSED,
506,3/1/2016,FAILED,
507,3/1/2016,PASSED,
508,3/1/2016,,
509,3/1/2016,,
510,3/1/2016,PASSED,
511,3/1/2016,FAILED,
512,3/1/2016,FAILED,
513,2/29/2016,,
514,2/29/2016,,
515,2/29/2016,FAILED,
516,2/29/2016,PASSED,
517,2/29/2016,,
518,2/29/2016,FAILED,
519,2/29/2016,PASSED,
520,2/29/2016,FAILED,
521,2/29/2016,FAILED,
522,2/29/2016,FAILED,
523,2/29/2016,PASSED,
524,2/29/2016,FAILED,
525,2/29/2016,FAILED,
526,2/29/2016,PASSED,
527,2/29/2016,FAILED,
528,2/26/2016,FAILED,
529,2/26/2016,,
530,2/26/2016,PASSED,
531,2/26/2016,FAILED,
532,2/26/2016,FAILED,
533,2/26/2016,FAILED,
534,2/26/2016,FAILED,
535,2/26/2016,PASSED,
536,2/26/2016,,
537,2/26/2016,FAILED,
538,2/26/2016,FAILED,
539,2/26/2016,FAILED,
540,2/24/2016,,
541,2/26/2016,PASSED,
542,2/26/2016,PASSED,
543,2/26/2016,PASSED,
