id,Address,Longitude,Longitude
373,1716 22ND AVE S,-122.30351515,-122.30351515
374,1716 22ND AVE S,-122.30351515,-122.30351515
375,1716 22ND AVE S,-122.30351515,-122.30351515
376,1716 22ND AVE S,-122.30351515,-122.30351515
377,1716 22ND AVE S,-122.30351515,-122.30351515
378,1716 22ND AVE S,-122.30351515,-122.30351515
379,3406 FREMONT AVE N,-122.34944787,-122.34944787
380,2119 29TH AVE S,-122.29545483,-122.29545483
381,2310 WESTMONT WAY W,-122.40581246,-122.40581246
382,1201 3RD AVE,-122.33612134,-122.33612134
383,1735 DEXTER AVE N,-122.34267297,-122.34267297
384,1251 JOHN ST,-122.33142264,-122.33142264
385,1956 26TH AVE E,-122.29913369,-122.29913369
386,2101 7TH AVE,-122.33938109,-122.33938109
387,3720 59TH AVE SW,-122.4080401,-122.4080401
388,215 2ND AVE S,-122.33197468,-122.33197468
389,8149 28TH AVE SW,-122.36884483,-122.36884483
390,450 NE 100TH ST,-122.32353047,-122.32353047
391,11756 4TH AVE NW,-122.36199128,-122.36199128
392,3322 W GOVERNMENT WAY,-122.40053034,-122.40053034
393,1446 NW 62ND ST,-122.37574279,-122.37574279
394,8046 26TH AVE NW,-122.38954593,-122.38954593
395,74 S LUCILE ST,-122.33558626,-122.33558626
396,6655 NE 60TH ST,-122.25467929,-122.25467929
397,4405 CORLISS AVE N,-122.33163123,-122.33163123
398,7112 48TH AVE S,-122.27241268,-122.27241268
399,902 31ST AVE,-122.29231192,-122.29231192
400,1001 4TH AVE,-122.33389399,-122.33389399
401,1001 4TH AVE,-122.33389399,-122.33389399
402,7050 32ND AVE S,-122.2904473,-122.2904473
403,1001 4TH AVE,-122.33389399,-122.33389399
404,1316 E REMINGTON CT,-122.31463399,-122.31463399
405,1545 NE 88TH ST,-122.31032679,-122.31032679
406,1545 NE 88TH ST,-122.31032679,-122.31032679
407,5130 S LUCILE ST,-122.26854862,-122.26854862
408,2020 S NYE PL,-122.3051544,-122.3051544
409,4443 S EDDY ST,-122.27623279,-122.27623279
410,4207 BAGLEY AVE N,-122.33286153,-122.33286153
411,2101 4TH AVE,-122.34245444,-122.34245444
412,4307 S WEBSTER ST,-122.27886419,-122.27886419
413,2349 WEST VIEWMONT WAY W,-122.40892074,-122.40892074
414,5524 ASHWORTH AVE N,-122.33875812,-122.33875812
415,2629 NW 63RD ST,-122.39138445,-122.39138445
416,802 E PIKE ST,-122.32175689,-122.32175689
417,706 N 143RD ST,-122.35012545,-122.35012545
418,5816 15TH AVE NW,-122.37569856,-122.37569856
419,2309 N 62ND ST,-122.33042719,-122.33042719
420,3126 WEST LAURELHURST DR NE,-122.27748242,-122.27748242
421,3126 WEST LAURELHURST DR NE,-122.27748242,-122.27748242
422,501 FAIRVIEW AVE N,-122.33458524,-122.33458524
423,2016 E MILLER ST,-122.30467474,-122.30467474
424,2016 E MILLER ST,-122.30467474,-122.30467474
425,600 STEWART ST,-122.33726765,-122.33726765
426,131 22ND AVE E,-122.30391655,-122.30391655
427,4700 SW ADMIRAL WAY,-122.39306099,-122.39306099
428,612 N 45TH ST,-122.35088977,-122.35088977
429,333 DEXTER AVE N,-122.34293264,-122.34293264
430,3914 48TH PL NE,-122.27540641,-122.27540641
431,8755 PHINNEY AVE N,-122.35426157,-122.35426157
