id,Application/Permit Number,Address,Permit_Type_ID,Category_ID,Contractor_ID
406,6530920,1111 29TH AVE S,,,
407,6530919,1113 29TH AVE S,,,
408,6530918,1113 29TH AVE S,,,
409,6530915,1111 29TH AVE S,,,
410,6530192,7920 SEWARD PARK AVE S,,,
411,6530191,5725 NE 62ND ST,,,
412,6530784,902 N 79TH ST,,,
413,6530189,7920 SEWARD PARK AVE S,,,
414,6530072,8015 12TH AVE NE,,,
415,6530984,1919 24TH AVE S,,,
416,6530070,8015 12TH AVE NE,,,
417,6530985,11033 EVANSTON AVE N,,,
418,6530909,5507 NE WINDERMERE RD,,,
419,6530981,8505A 14TH AVE NW,,,
420,6530632,1115 30TH AVE S,,,
421,6530980,8505B 14TH AVE NW,,,
422,6530979,8507A 14TH AVE NW,,,
423,6530634,1115 30TH AVE S,,,
424,6530795,7712A HIGHLAND PARK WAY SW,,,
425,6530977,8507B 14TH AVE NW,,,
426,6530797,7712A HIGHLAND PARK WAY SW,,,
427,6530978,1601 5TH AVE,,,
428,6530806,3808 41ST AVE S,,,
429,6530808,3808 41ST AVE S,,,
430,6530809,618 36TH AVE,,,
431,6530811,618 36TH AVE,,,
432,6530971,13800 LINDEN AVE N,,,
433,6530969,620 25TH AVE E,,,
434,6530962,3255 11TH AVE W,,,
435,6530637,1655 S LANE ST,,,
436,6530644,8236 16TH AVE NE,,,
437,6530641,8236 16TH AVE NE,,,
438,6530621,4205 50TH AVE NE,,,
439,6527065,200 CEDAR ST,,,
440,6530890,12748 GREENWOOD AVE N,,,
441,6530889,4547 8TH AVE NE,,,
442,6530881,4547 8TH AVE NE,,,
443,6530914,12537 LAKE CITY WAY NE,,,
444,6530913,4623 46TH AVE S,,,
445,6530912,4623 46TH AVE S,,,
446,6529527,314 NW 80TH ST,,,
447,6530601,4408 SW MASSACHUSETTS ST,,,
448,6530602,4408 SW MASSACHUSETTS ST,,,
449,6530599,522 20TH AVE,,,
450,6530596,522 20TH AVE,,,
451,6530814,6521C 25TH AVE NE,,,
452,6530814,6521C 25TH AVE NE,,,
453,6530907,5300 TALLMAN AVE NW,,,
454,6530815,6521C 25TH AVE NE,,,
455,6530815,6521C 25TH AVE NE,,,
456,6530647,918A 18TH AVE,,,
457,6529956,1700 23RD AVE,,,
458,6530648,918A 18TH AVE,,,
459,6530887,1700G N 122ND ST,,,
460,6530781,501 E PIKE ST,,,
461,6530873,8854 10TH AVE SW,,,
462,6530785,2328 NE 104TH ST,,,
463,6530861,2043 N 78TH ST,,,
464,6530787,2328 NE 104TH ST,,,
465,6530870,3835 44TH AVE SW,,,
466,6530864,2516 NE 137TH ST,,,
467,6530864,2516 NE 137TH ST,,,
468,6530864,2516 NE 137TH ST,,,
469,6530858,601 UNION ST,,,
470,6530857,2401 UTAH AVE S,,,
471,6530003,934 18TH AVE,,,
472,6529828,1029 OCCIDENTAL AVE S,,,
473,6427563,999 3RD AVE,,,
474,6529796,1902 24TH AVE S,,,
475,6529804,1902 24TH AVE S,,,
476,6529805,1908A 24TH AVE S,,,
477,6529806,1908B 24TH AVE S,,,
478,6530788,4746 7TH AVE NE,,,
479,6529807,1908C 24TH AVE S,,,
480,6530786,5312 9TH AVE NE,,,
481,6530774,4435 35TH AVE SW,,,
482,6530772,4825 RAINIER AVE S,,,
483,6527233,1001 SW KLICKITAT WAY,,,
484,6528216,219 1ST AVE N,,,
485,6530334,620 STEWART ST,,,
486,6530764,10735 DENSMORE AVE N,,,
487,6530756,2332 N 62ND ST,,,
488,6530758,4033 EVANSTON AVE N,,,
489,6530757,2332 N 62ND ST,,,
490,6530755,1207 NW 83RD ST,,,
491,6530755,1207 NW 83RD ST,,,
492,6530755,1207 NW 83RD ST,,,
493,6530752,3707 52ND AVE SW,,,
494,6530739,5240 UNIVERSITY WAY NE,,,
495,6530746,1030 NE 103RD ST,,,
496,6530544,1305 SW CAMBRIDGE ST,,,
497,6530727,611 22ND AVE,,,
498,6530645,7740 BAGLEY AVE N,,,
499,6530625,8712 16TH AVE SW,,,
500,6530726,1818 30TH AVE,,,
501,6530725,1106 NW 60TH ST,,,
502,6529955,550 BROADWAY,,,
503,6528120,8319 WABASH AVE S,,,
504,6529697,2452 WARREN AVE N,,,
505,6529705,2452 WARREN AVE N,,,
506,6530714,5012 SW GRAYSON ST,,,
507,6530714,5012 SW GRAYSON ST,,,
508,6530710,6329 20TH AVE NE,,,
509,6530705,6250 3RD AVE NW,,,
510,6530704,5555 17TH AVE S,,,
511,6530704,5555 17TH AVE S,,,
512,6530406,2512 11TH AVE W,,,
513,6530401,2512 11TH AVE W,,,
514,6530700,1141 NW 56TH ST,,,
515,6529869,3007 S GENESEE ST,,,
516,6529867,3007 S GENESEE ST,,,
517,6530225,3302 W DRAVUS ST,,,
518,6530225,3302 W DRAVUS ST,,,
519,6530223,3419 21ST AVE S,,,
520,6530221,3419 21ST AVE S,,,
521,6529821,2347C MINOR AVE E,,,
522,6530694,6505 15TH AVE NE,,,
523,6530698,1550 W ARMORY WAY,,,
524,6529820,6817 SEWARD PARK AVE S,,,
525,6529819,8664 ISLAND DR S,,,
526,6530218,11223 PALATINE AVE N,,,
527,6530218,11223 PALATINE AVE N,,,
528,6530691,13823 GREENWOOD AVE N,,,
529,6527667,6546 32ND AVE NE,,,
530,6529816,1110 N 49TH ST,,,
531,6529815,8664 ISLAND DR S,,,
532,6529814,6817 SEWARD PARK AVE S,,,
533,6529811,2347C MINOR AVE E,,,
534,6526618,1415 1ST AVE,,,
535,6530682,2337 N 140TH ST,,,
536,6530679,2337 N 140TH ST,,,
537,6530676,1201 3RD AVE,,,
538,6527258,221 24TH AVE E,,,
539,6527256,221 24TH AVE E,,,
540,6530681,7721 20TH AVE NW,,,
541,6526990,1523 15TH AVE W,,,
542,6526879,5803 15TH AVE NW,,,
543,6530673,13719 41ST AVE NE,,,
544,6530673,13719 41ST AVE NE,,,
545,6530670,13719 41ST AVE NE,,,
546,6530670,13719 41ST AVE NE,,,
547,6530211,1700 ARCH AVE SW,,,
548,6530208,1700 ARCH AVE SW,,,
549,6530660,5253 49TH AVE SW,,,
550,6530241,3718 BAGLEY AVE N,,,
551,6530661,100 SMITH ST,,,
552,6530239,2134 N 64TH ST,,,
553,6530237,2134 N 64TH ST,,,
