id,PermitType,PermitNumber,PerrmitStatus
347,Construction,6529623,Application Accepted
348,Construction,6529623,Application Accepted
349,Construction,6520258,Application Accepted
350,Construction,6211435,CANCELLED
351,Construction,6521433,Application Accepted
352,Construction,6512047,Application Accepted
353,Construction,6516940,Application Accepted
354,Construction,6516507,Application Accepted
355,Construction,6509267,Application Accepted
356,Construction,6517751,Application Accepted
357,Construction,6519560,Application Accepted
358,Construction,6521336,Application Accepted
359,Construction,6524595,Application Accepted
360,Construction,6523301,Application Accepted
361,Construction,6522476,Application Accepted
362,Construction,6511295,Application Accepted
363,Construction,6503984,Application Accepted
364,Construction,6505554,Application Accepted
365,Construction,6484704,Application Accepted
366,Construction,6494571,Application Accepted
367,Construction,6507949,Application Accepted
368,Construction,6529723,Permit Issued
369,Construction,6525388,Permit Issued
370,Construction,6529696,Permit Closed
371,Construction,6529711,Application Accepted
372,Construction,6529710,Application Accepted
373,Construction,6529709,Application Accepted
374,Construction,6529682,Permit Issued
375,Construction,6516520,Permit Issued
376,Construction,6516520,Permit Issued
377,Construction,6529241,Permit Issued
378,Construction,6529665,Permit Issued
379,Construction,6528989,Permit Issued
380,Construction,6522708,Permit Issued
381,Construction,6529629,Reviews Completed
382,Construction,6527210,Permit Issued
383,Site Development,6529174,Application Accepted
384,Construction,6528270,Permit Issued
385,Construction,6529571,Permit Issued
386,Demolition,6486662,Reviews Completed
387,Construction,6486350,Application Accepted
388,Construction,6529199,Permit Issued
389,Construction,6529542,Permit Issued
390,Construction,6529478,Permit Issued
391,Construction,6529528,Application Accepted
392,Construction,6529529,Permit Issued
393,Construction,6529529,Permit Issued
394,Construction,6529518,Application Accepted
395,Construction,6529518,Application Accepted
396,Construction,6529425,Application Accepted
397,Demolition,6529116,Reviews Completed
398,Construction,6403247,Application Accepted
399,Construction,6509911,Application Accepted
400,Construction,6527983,
401,Construction,6458228,Application Accepted
402,Construction,6507578,Application Accepted
403,Construction,6489404,Application Accepted
404,Construction,6529476,Permit Issued
405,Construction,6529113,Permit Issued
406,Construction,6513697,Application Accepted
407,Construction,6514061,Application Accepted
408,Construction,6518488,Application Accepted
409,Construction,6518512,Application Accepted
410,Construction,6492011,Application Accepted
411,Site Development,6528145,AP Closed
412,Construction,6512114,Application Accepted
413,Construction,6511894,Application Accepted
414,Construction,6515737,Application Accepted
415,Construction,6512132,Application Accepted
416,Construction,6515168,Application Accepted
417,Construction,6505291,Application Accepted
418,Construction,6519494,Application Accepted
419,Construction,6513552,Application Accepted
420,Construction,6514896,Application Accepted
421,Construction,6528258,Application Accepted
422,Construction,6503414,Application Accepted
423,Construction,6529434,Permit Issued
424,Construction,6517089,Application Accepted
425,Construction,6529441,Permit Issued
426,Construction,6529315,Permit Issued
427,Construction,6502346,Application Accepted
428,Construction,6529424,Permit Issued
429,Construction,6529362,Permit Issued
430,Construction,6527306,Permit Issued
431,Construction,6529332,Permit Issued
432,Construction,6529333,Permit Closed
433,Construction,6507010,Application Accepted
434,Construction,6524465,Permit Issued
435,Construction,6524462,Permit Issued
436,Construction,6526216,Application Accepted
437,Construction,6522164,Application Accepted
438,Construction,6507569,Application Accepted
439,Construction,6472262,Permit Issued
440,Construction,6529156,Permit Closed
441,Construction,6529192,Permit Issued
442,Construction,6528682,Permit Issued
443,Construction,6529190,Reviews Completed
444,Construction,6526265,Permit Issued
445,Construction,6526265,Permit Issued
446,Construction,6529185,Application Accepted
447,Construction,6529181,Permit Issued
448,Construction,6529171,Permit Issued
449,Construction,6117107,
450,Construction,6529168,Permit Issued
451,Construction,6529163,Permit Issued
452,Construction,6529153,Permit Issued
453,Construction,6497269,Application Accepted
454,Construction,6526053,Application Accepted
455,Construction,6528972,Permit Issued
456,Construction,6501311,Application Accepted
457,Construction,6528155,Application Accepted
458,Construction,6529130,Permit Issued
459,Demolition,6525838,Permit Issued
460,Construction,6529097,Application Accepted
461,Construction,6521657,Application Accepted
462,Construction,6529061,Permit Issued
463,Construction,6529057,Permit Issued
464,Construction,6529055,Permit Issued
465,Construction,6512158,Application Accepted
466,Construction,6516433,Application Accepted
467,Construction,6501113,Application Accepted
468,Construction,6516788,Application Accepted
469,Construction,6521204,Application Accepted
470,Demolition,6528968,Reviews Completed
471,Demolition,6528944,Reviews Completed
472,Construction,6528842,Permit Issued
473,Construction,6501122,Application Accepted
474,Construction,6522673,Permit Issued
475,Construction,6528950,Permit Issued
476,Construction,6521678,Application Accepted
477,Construction,6522304,Application Accepted
478,Construction,6518260,Application Accepted
479,Construction,6517024,Application Accepted
480,Construction,6494107,Application Accepted
481,Construction,6525818,Application Accepted
482,Construction,6505592,Application Accepted
483,Construction,6416419,Permit Issued
484,Construction,6528841,Permit Issued
485,Construction,6444414,Application Accepted
486,Construction,6516523,Application Accepted
487,Construction,6492796,Application Accepted
488,Construction,6523001,Application Accepted
489,Construction,6520517,Application Accepted
490,Demolition,6528644,Reviews Completed
491,Construction,6517058,Application Accepted
492,Construction,6528631,Permit Issued
493,Construction,6528703,Permit Issued
494,Construction,6528727,Permit Issued
495,Construction,6528727,Permit Issued
496,Construction,6528727,Permit Issued
497,Construction,6519024,Application Accepted
498,Demolition,6528264,Permit Issued
499,Construction,6516373,Application Accepted
500,Construction,6528690,Permit Issued
501,Construction,6527698,Permit Issued
502,Construction,6478760,Application Accepted
503,Construction,6510979,Application Accepted
504,Construction,6528673,Permit Issued
505,Construction,6492955,Application Accepted
506,Construction,6514356,Application Accepted
507,Construction,6524727,Application Accepted
508,Construction,6516638,Application Accepted
509,Construction,6528634,Application Accepted
510,Construction,6493123,Permit Issued
511,Construction,6515006,Application Accepted
512,Construction,6520168,Application Accepted
513,Construction,6525576,Permit Issued
514,Construction,6525576,Permit Issued
515,Construction,6518895,Application Accepted
516,Demolition,6068085,
517,Construction,6526007,Application Accepted
518,Construction,6495184,Application Accepted
519,Construction,6508870,Application Accepted
520,Construction,6498238,Application Accepted
521,Construction,6518963,Application Accepted
522,Construction,6464858,Application Accepted
523,Construction,6528230,Application Accepted
524,Construction,6519970,Permit Issued
525,Construction,6516168,Application Accepted
526,Construction,6520801,Application Accepted
527,Construction,6521218,Application Accepted
528,Construction,6528199,Permit Issued
529,Construction,6528419,Permit Issued
530,Site Development,6528393,Application Accepted
531,Site Development,6528393,Application Accepted
532,Demolition,6527684,Reviews Completed
533,Construction,6517072,Application Accepted
534,Construction,6528373,Application Accepted
535,Construction,6528373,Application Accepted
536,Construction,6524155,Application Accepted
537,Demolition,6528386,Reviews Completed
538,Construction,6523987,Application Accepted
539,Construction,6525728,Application Accepted
540,Construction,6524896,Application Accepted
541,Construction,6505822,Application Accepted
542,Demolition,6528224,Reviews Completed
543,Construction,6503988,Application Accepted
544,Demolition,6528358,Reviews Completed
545,Construction,6528396,Permit Closed
546,Construction,6513525,Application Accepted
547,Construction,6463140,Permit Issued
548,Construction,6515537,Application Accepted
549,Demolition,6528233,Reviews Completed
550,Construction,6496438,Application Accepted
551,Construction,6528334,Permit Closed
552,Construction,6506266,Application Accepted
553,Construction,6525341,Permit Issued
554,Construction,6528271,Permit Issued
555,Construction,6528271,Permit Issued
556,Construction,6515660,Application Accepted
557,Construction,6512128,Permit Issued
558,Construction,6528320,Permit Issued
559,Construction,6528320,Permit Issued
560,Construction,6524730,Permit Issued
561,Construction,6526657,Application Accepted
562,Construction,6492770,Application Accepted
563,Site Development,6528248,AP Closed
564,Construction,6524151,Permit Issued
565,Construction,6518818,Application Accepted
566,Construction,6067174,
567,Construction,6528138,Application Accepted
568,Construction,6528138,Application Accepted
569,Demolition,6528140,Reviews Completed
570,Construction,6516723,Reviews Completed
571,Construction,6528215,Permit Issued
572,Construction,6528217,Permit Issued
573,Construction,6528185,Permit Issued
574,Construction,6528211,Permit Issued
575,Construction,6509246,Application Accepted
576,Construction,6504968,Application Accepted
577,Construction,6521377,Application Accepted
578,Construction,6524131,Permit Issued
579,Construction,6523068,Application Accepted
580,Construction,6506254,Application Accepted
581,Construction,6528126,Permit Issued
582,Construction,6514818,Application Accepted
583,Construction,6521308,Application Accepted
584,Construction,6521332,Application Accepted
585,Construction,6526910,Application Accepted
586,Construction,6528095,Permit Issued
587,Construction,6515327,Application Accepted
588,Construction,6512113,Application Accepted
589,Construction,6514547,Application Accepted
590,Construction,6522705,Application Accepted
591,Construction,6523984,Application Accepted
592,Construction,6513025,Application Accepted
593,Construction,6513535,Application Accepted
594,Construction,6516710,Application Accepted
595,Construction,6519393,Application Accepted
596,Construction,6526594,Application Accepted
597,Construction,6496920,Permit Issued
598,Construction,6527985,Permit Issued
599,Construction,6402482,Initial Information Collected
600,Construction,6496636,Application Accepted
601,Construction,6527912,Permit Issued
602,Construction,6527912,Permit Issued
603,Construction,6527937,Permit Issued
604,Construction,6527925,Permit Issued
605,Construction,6520201,Application Accepted
606,Construction,6482483,Application Accepted
607,Construction,6527412,Permit Issued
608,Construction,6527837,Permit Issued
609,Construction,6527854,Permit Issued
610,Construction,6527854,Permit Issued
611,Construction,6503124,Permit Issued
612,Construction,6520916,Permit Issued
613,Construction,6527480,Permit Issued
614,Construction,6527480,Permit Issued
615,Construction,6527477,Permit Issued
616,Construction,6508813,Application Accepted
617,Construction,6505549,Application Accepted
618,Construction,6515434,Application Accepted
619,Construction,6514110,Application Accepted
620,Construction,6514534,Application Accepted
621,Construction,6517082,Application Accepted
622,Construction,6527755,Reviews Completed
623,Construction,6510653,Application Accepted
624,Construction,6488912,Application Accepted
625,Construction,6520641,Application Accepted
626,Construction,6512880,Application Accepted
627,Construction,6508432,Application Accepted
628,Construction,6527712,Permit Issued
629,Construction,6527728,Permit Issued
630,Construction,6527725,Permit Issued
631,Construction,6527643,Application Accepted
632,Demolition,6496419,Reviews Completed
