cultspc_id,year_occup,own_rent,yr_built,NBHD_id,address_id
,2014,R,1983,,
,2013,R,1944,,
,1990,R,1980,,
,2015,R,1908,,
,1950,O,1950,,
,2006,R,1941,,
,2011,Other,1985,,
,2013,R,1980,,
,2013,R,1990,,
,2011,R,1950,,
,1996,R,1930,,
,2013,R,2000,,
,2011,R,1940,,
,2014,R,1940,,
,2009,R,1889,,
,2002,O,1930,,
,2005,R,1920,,
,2012,R,1900,,
,1914,R,1900,,
,2012,R,1930,,
,2000,R,1931,,
,1997,R,1915,,
,2009,R,1930,,
,1959,Other,1952,,
,2009,R,1907,,
,2010,R,1960,,
,2013,R,1890,,
,1909,O,201,,
,2001,R,1980,,
,1983,R,1916,,
,2014,R,1905,,
,1921,O,1921,,
,2006,O,1964,,
,2010,R,1995,,
,1993,R,1889,,
,2005,R,1,,
,2013,R,1890,,
,2007,R,1985,,
,2015,R,2014,,
,2008,O,2009,,
,2002,R,1915,,
,2014,R,1990,,
,,,,,
,,,,,
,1950,O,1950,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,2012,R,1960,,
,2012,O,2008,,
,2013,R,1930,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,1993,R,1993,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,1995,R,1952,,
,1999,O,1940,,
,2012,R,1970,,
,1972,O,1972,,
,1995,R,1952,,
,2013,R,1965,,
,2008,R,1922,,
,2001,R,1964,,
,1997,O,1904,,
,2002,R,1927,,
,2014,Other,1918,,
,2015,R,1971,,
,1999,R,1961,,
,1924,O,1975,,
,2010,Other,1927,,
,2009,R,2009,,
,2013,O,2010,,
,2015,R,1906,,
,1986,O,1910,,
,2009,O,1907,,
,2014,R,2007,,
,1995,O,1995,,
,1998,Other,1998,,
,2012,R,1921,,
,2014,R,2014,,
