id,Application/Permit Number,Address,Permit_Type_ID,Category_ID,Contractor_ID
274,6531391,4700 9TH AVE NW,0,0,0
275,6531508,3854 35TH AVE W,0,0,0
276,6531506,3718 W DRAVUS ST,0,0,0
277,6526771,410 4TH AVE,0,0,0
278,6531465,1531 7TH AVE,0,0,0
279,6531352,332 NW 113TH PL,0,0,0
280,6531454,4321 SW GENESEE ST,0,0,0
281,6527002,501 FAIRVIEW AVE N,0,0,0
282,6531324,2100 N NORTHGATE WAY,0,0,0
283,6531209,4120 SW 102ND ST,0,0,0
284,6531214,4120 SW 102ND ST,0,0,0
285,6531223,740 N 81ST ST,0,0,0
286,6531221,740 N 81ST ST,0,0,0
287,6531281,159 DORFFEL DR E,0,0,0
288,6527991,1000 DEXTER AVE N,0,0,0
289,6531136,9265 FAUNTLEROY WAY SW,0,0,0
290,6531140,3707 S COURT ST,0,0,0
291,6531140,3707 S COURT ST,0,0,0
292,6531055,1223 SPRING ST,0,0,0
293,6531139,3707 S COURT ST,0,0,0
294,6531139,3707 S COURT ST,0,0,0
295,6530957,1526 2ND AVE W,0,0,0
296,6530960,1526 2ND AVE W,0,0,0
297,6531247,419 NE 71ST ST,0,0,0
298,6531416,7560 28TH AVE SW,0,0,0
299,6531415,7560 28TH AVE SW,0,0,0
300,6531385,4206 SW DAKOTA ST,0,0,0
301,6510273,1301 ALASKAN WAY,0,0,0
302,6531319,1705 NE PACIFIC ST,0,0,0
303,6531306,3220 W MCGRAW ST,0,0,0
304,6531307,2826 25TH AVE W,0,0,0
305,6531308,1516 NW 61ST ST,0,0,0
306,6531300,820 4TH AVE,0,0,0
307,6531304,820 4TH AVE,0,0,0
308,6531165,1325 4TH AVE,0,0,0
309,6531290,3810 S FERDINAND ST,0,0,0
310,6530429,1325 4TH AVE,0,0,0
311,6531278,5601 24TH AVE NW,0,0,0
312,6531270,3928 S HUDSON ST,0,0,0
313,6531270,3928 S HUDSON ST,0,0,0
314,6531264,7440 EAST GREEN LAKE DR N,0,0,0
315,6531167,4111 47TH AVE SW,0,0,0
316,6531259,81 CLAY ST,0,0,0
317,6531253,1709 S MCCLELLAN ST,0,0,0
318,6531251,4330 3RD AVE NW,0,0,0
319,6531250,12020 6TH AVE NW,0,0,0
320,6531249,2267 NE 61ST ST,0,0,0
321,6531243,400 PINE ST,0,0,0
322,6531239,6842 17TH AVE NE,0,0,0
323,6531237,1511 N 41ST ST,0,0,0
324,6531238,8027 14TH AVE NW,0,0,0
325,6531241,2410 S FERDINAND ST,0,0,0
326,6531241,2410 S FERDINAND ST,0,0,0
327,6531234,1340 15TH AVE S,0,0,0
328,6531233,14011 WAYNE PL N,0,0,0
329,6531233,14011 WAYNE PL N,0,0,0
330,6531224,5711 24TH AVE NW,0,0,0
331,6531230,5515 SW WINTHROP ST,0,0,0
332,6531226,13200 AURORA AVE N,0,0,0
333,6531215,1032 23RD AVE E,0,0,0
334,6530067,2857 FRANKLIN AVE E,0,0,0
335,6530066,4319 WOODLAND PARK AVE N,0,0,0
336,6531163,4111 47TH AVE SW,0,0,0
337,6529829,2861 FRANKLIN AVE E,0,0,0
338,6531043,460 N 42ND ST,0,0,0
339,6530064,4321 WOODLAND PARK AVE N,0,0,0
340,6529824,225 E SHELBY ST,0,0,0
341,6529830,4323 WOODLAND PARK AVE N,0,0,0
342,6531197,3835 21ST AVE SW,0,0,0
343,6530638,5000 30TH AVE NE,0,0,0
344,6531193,521 N 75TH ST,0,0,0
345,6531193,521 N 75TH ST,0,0,0
346,6531196,7553 9TH AVE NW,0,0,0
347,6531186,317 SENECA ST,0,0,0
348,6531183,7606 7TH AVE SW,0,0,0
349,6531174,820 4TH AVE,0,0,0
350,6531168,6530 23RD AVE NE,0,0,0
351,6530733,80 S MAIN ST,0,0,0
352,6529463,5717 39TH AVE S,0,0,0
353,6529467,3506 S PORTLAND ST,0,0,0
354,6530819,8308 14TH AVE NW,0,0,0
355,6530629,233 E SHELBY ST,0,0,0
356,6530630,229 E SHELBY ST,0,0,0
357,6530855,8038 28TH AVE NW,0,0,0
358,6530855,8038 28TH AVE NW,0,0,0
359,6530855,8038 28TH AVE NW,0,0,0
360,6530855,8038 28TH AVE NW,0,0,0
361,6530853,3871 46TH AVE NE,0,0,0
362,6530854,3871 46TH AVE NE,0,0,0
363,6530624,1901 WESTERN AVE,0,0,0
364,6530852,8038 28TH AVE NW,0,0,0
365,6530852,8038 28TH AVE NW,0,0,0
366,6530852,8038 28TH AVE NW,0,0,0
367,6530852,8038 28TH AVE NW,0,0,0
368,6530869,1959 NE PACIFIC ST,0,0,0
369,6529998,1023 E ALDER ST,0,0,0
370,6531128,7960 46TH AVE S,0,0,0
371,6531125,9217 3RD AVE NW,0,0,0
372,6530633,9107 FAUNTLEROY WAY SW,0,0,0
373,6531124,1944 4TH AVE W,0,0,0
374,6531123,10133 RAINIER AVE S,0,0,0
375,6530628,300 BOREN AVE N,0,0,0
376,6531051,6000 16TH AVE SW,0,0,0
377,6531036,1420 5TH AVE,0,0,0
378,6531047,1570 N 115TH ST,0,0,0
379,6531034,1118 N 77TH ST,0,0,0
380,6531024,7022 30TH PL SW,0,0,0
381,6531027,6830 31ST AVE SW,0,0,0
382,6531026,7008 30TH PL SW,0,0,0
383,6530807,1207 PARKSIDE DR E,0,0,0
384,6530810,1207 PARKSIDE DR E,0,0,0
385,6530938,2649 46TH AVE SW,0,0,0
386,6530936,415 30TH AVE S,0,0,0
387,6530932,415 30TH AVE S,0,0,0
388,6530910,12036 38TH AVE NE,0,0,0
389,6530931,6541 32ND AVE NE,0,0,0
390,6531021,4011 6TH AVE S,0,0,0
391,6531020,8905 FREMONT AVE N,0,0,0
392,6531019,1806 NE 55TH ST,0,0,0
393,6531018,1911 4TH AVE N,0,0,0
394,6531017,13203 2ND AVE NW,0,0,0
395,6531010,6613 BEACON AVE S,0,0,0
396,6531016,815 NW 88TH ST,0,0,0
397,6530821,2308 N 55TH ST,0,0,0
398,6531014,1421 21ST AVE,0,0,0
399,6531003,6531 35TH AVE SW,0,0,0
400,6531003,6531 35TH AVE SW,0,0,0
401,6530594,3714 38TH AVE S,0,0,0
402,6531001,9550 1ST AVE NE,0,0,0
403,6531002,2815 E ALOHA ST,0,0,0
404,6531002,2815 E ALOHA ST,0,0,0
405,6530998,947 26TH AVE,0,0,0
406,6530920,1111 29TH AVE S,0,0,0
407,6530919,1113 29TH AVE S,0,0,0
408,6530918,1113 29TH AVE S,0,0,0
409,6530915,1111 29TH AVE S,0,0,0
410,6530192,7920 SEWARD PARK AVE S,0,0,0
411,6530191,5725 NE 62ND ST,0,0,0
412,6530784,902 N 79TH ST,0,0,0
413,6530189,7920 SEWARD PARK AVE S,0,0,0
414,6530072,8015 12TH AVE NE,0,0,0
415,6530984,1919 24TH AVE S,0,0,0
416,6530070,8015 12TH AVE NE,0,0,0
417,6530985,11033 EVANSTON AVE N,0,0,0
418,6530909,5507 NE WINDERMERE RD,0,0,0
419,6530981,8505A 14TH AVE NW,0,0,0
420,6530632,1115 30TH AVE S,0,0,0
421,6530980,8505B 14TH AVE NW,0,0,0
422,6530979,8507A 14TH AVE NW,0,0,0
423,6530634,1115 30TH AVE S,0,0,0
424,6530795,7712A HIGHLAND PARK WAY SW,0,0,0
425,6530977,8507B 14TH AVE NW,0,0,0
426,6530797,7712A HIGHLAND PARK WAY SW,0,0,0
427,6530978,1601 5TH AVE,0,0,0
428,6530806,3808 41ST AVE S,0,0,0
429,6530808,3808 41ST AVE S,0,0,0
430,6530809,618 36TH AVE,0,0,0
431,6530811,618 36TH AVE,0,0,0
432,6530971,13800 LINDEN AVE N,0,0,0
433,6530969,620 25TH AVE E,0,0,0
434,6530962,3255 11TH AVE W,0,0,0
435,6530637,1655 S LANE ST,0,0,0
436,6530644,8236 16TH AVE NE,0,0,0
437,6530641,8236 16TH AVE NE,0,0,0
438,6530621,4205 50TH AVE NE,0,0,0
439,6527065,200 CEDAR ST,0,0,0
440,6530890,12748 GREENWOOD AVE N,0,0,0
441,6530889,4547 8TH AVE NE,0,0,0
442,6530881,4547 8TH AVE NE,0,0,0
443,6530914,12537 LAKE CITY WAY NE,0,0,0
444,6530913,4623 46TH AVE S,0,0,0
445,6530912,4623 46TH AVE S,0,0,0
446,6529527,314 NW 80TH ST,0,0,0
447,6530601,4408 SW MASSACHUSETTS ST,0,0,0
448,6530602,4408 SW MASSACHUSETTS ST,0,0,0
449,6530599,522 20TH AVE,0,0,0
450,6530596,522 20TH AVE,0,0,0
451,6530814,6521C 25TH AVE NE,0,0,0
452,6530814,6521C 25TH AVE NE,0,0,0
453,6530907,5300 TALLMAN AVE NW,0,0,0
454,6530815,6521C 25TH AVE NE,0,0,0
455,6530815,6521C 25TH AVE NE,0,0,0
456,6530647,918A 18TH AVE,0,0,0
457,6529956,1700 23RD AVE,0,0,0
458,6530648,918A 18TH AVE,0,0,0
459,6530887,1700G N 122ND ST,0,0,0
460,6530781,501 E PIKE ST,0,0,0
461,6530873,8854 10TH AVE SW,0,0,0
462,6530785,2328 NE 104TH ST,0,0,0
463,6530861,2043 N 78TH ST,0,0,0
464,6530787,2328 NE 104TH ST,0,0,0
465,6530870,3835 44TH AVE SW,0,0,0
466,6530864,2516 NE 137TH ST,0,0,0
467,6530864,2516 NE 137TH ST,0,0,0
468,6530864,2516 NE 137TH ST,0,0,0
469,6530858,601 UNION ST,0,0,0
470,6530857,2401 UTAH AVE S,0,0,0
471,6530003,934 18TH AVE,0,0,0
472,6529828,1029 OCCIDENTAL AVE S,0,0,0
473,6427563,999 3RD AVE,0,0,0
474,6529796,1902 24TH AVE S,0,0,0
475,6529804,1902 24TH AVE S,0,0,0
476,6529805,1908A 24TH AVE S,0,0,0
477,6529806,1908B 24TH AVE S,0,0,0
478,6530788,4746 7TH AVE NE,0,0,0
479,6529807,1908C 24TH AVE S,0,0,0
