id,Type
1425,Construction
1426,Construction
1427,Construction
1428,Construction
1429,Construction
1430,Construction
1431,Construction
1432,Construction
1433,Construction
1434,Construction
1435,Construction
1436,Construction
1437,Construction
1438,Construction
1439,Site Development
1440,Construction
1441,Construction
1442,Construction
1443,Construction
1444,Construction
1445,Construction
1446,Construction
1447,Construction
1448,Construction
1449,Construction
1450,Site Development
1451,Construction
1452,Construction
1453,Construction
1454,Construction
1455,Demolition
1456,Construction
1457,Construction
1458,Construction
1459,Construction
1460,Site Development
1461,Construction
1462,Site Development
1463,Construction
1464,Construction
1465,Demolition
1466,Construction
1467,Construction
1468,Construction
1469,Construction
1470,Demolition
1471,Construction
1472,Site Development
1473,Construction
1474,Construction
1475,Construction
1476,Construction
1477,Construction
1478,Construction
1479,Construction
1480,Construction
1481,Construction
1482,Demolition
1483,Construction
1484,Construction
1485,Construction
1486,Construction
1487,Construction
1488,Construction
1489,Construction
1490,Construction
1491,Construction
1492,Construction
1493,Construction
1494,Demolition
1495,Construction
1496,Construction
1497,Construction
1498,Construction
1499,Demolition
1500,Construction
1501,Demolition
1502,Construction
1503,Demolition
1504,Construction
1505,Construction
1506,Construction
1507,Construction
1508,Construction
1509,Construction
1510,Construction
1511,Construction
1512,Construction
1513,Construction
1514,Construction
1515,Construction
1516,Construction
1517,Construction
1518,Construction
1519,Construction
1520,Construction
1521,Construction
1522,Construction
1523,Construction
1524,Construction
1525,Construction
1526,Construction
1527,Construction
1528,Construction
1529,Construction
1530,Construction
1531,Construction
1532,Construction
1533,Construction
1534,Construction
1535,Demolition
1536,Construction
1537,Construction
1538,Construction
1539,Construction
1540,Construction
1541,Construction
1542,Construction
1543,Construction
1544,Construction
1545,Construction
1546,Construction
1547,Construction
1548,Demolition
1549,Demolition
1550,Demolition
1551,Demolition
1552,Construction
1553,Construction
1554,Construction
1555,Construction
1556,Construction
1557,Construction
1558,Construction
1559,Construction
1560,Construction
1561,Construction
1562,Construction
1563,Construction
1564,Demolition
1565,Construction
1566,Construction
1567,Construction
1568,Construction
1569,Construction
1570,Demolition
1571,Construction
1572,Construction
1573,Construction
1574,Construction
1575,Construction
1576,Construction
1577,Construction
1578,Construction
1579,Construction
1580,Construction
1581,Construction
1582,Construction
1583,Demolition
1584,Construction
1585,Construction
1586,Construction
1587,Construction
1588,Construction
1589,Construction
1590,Construction
1591,Construction
1592,Construction
1593,Construction
1594,Construction
1595,Construction
1596,Construction
1597,Construction
1598,Demolition
1599,Demolition
1600,Construction
1601,Construction
1602,Construction
1603,Construction
1604,Construction
1605,Construction
1606,Demolition
1607,Construction
1608,Demolition
1609,Construction
1610,Construction
1611,Construction
1612,Construction
1613,Construction
1614,Demolition
1615,Construction
1616,Construction
1617,Construction
1618,Demolition
1619,Construction
1620,Construction
1621,Construction
1622,Construction
1623,Construction
1624,Construction
1625,Construction
1626,Construction
1627,Construction
1628,Site Development
1629,Construction
1630,Construction
1631,Construction
1632,Construction
1633,Construction
1634,Construction
1635,Construction
1636,Demolition
1637,Construction
1638,Site Development
1639,Construction
1640,Construction
1641,Construction
1642,Construction
1643,Construction
1644,Construction
1645,Construction
1646,Construction
1647,Construction
1648,Construction
1649,Construction
1650,Construction
