id,Street,Longitude,Latitude,BuildingPermit_id
312,13003 4TH AVE NW,-122.36265853,47.72347576,
313,2606 14TH AVE W,-122.37464696,47.64313671,
314,2606 14TH AVE W,-122.37464696,47.64313671,
315,2604 14TH AVE W,-122.37464406,47.64314172,
316,2604 14TH AVE W,-122.37464406,47.64314172,
317,11336 20TH AVE NE,-122.30580824,47.71129031,
318,11336 20TH AVE NE,-122.30580824,47.71129031,
319,2060 6TH AVE,-122.33873546,47.61506349,
320,6400 EAST GREEN LAKE WAY N,-122.33300164,47.67534853,
321,13758 LAKE CITY WAY NE,-122.29185863,47.7297446,
322,167 20TH AVE,-122.30664843,47.6032202,
323,169 20TH AVE,-122.30664843,47.6032202,
324,169 20TH AVE,-122.30664843,47.6032202,
325,167 20TH AVE,-122.30664843,47.6032202,
326,509 32ND AVE S,-122.2917195,47.5976004,
327,2347 N 51ST ST,-122.32899391,47.66556279,
328,9210 20TH AVE SW,-122.35879983,47.52067523,
329,2409 E PROSPECT ST,-122.30113825,47.62911345,
330,303 E PIKE ST,-122.32721261,47.61390837,
331,2721 14TH AVE S,-122.31487587,47.57885517,
332,5148 NE 54TH ST,-122.27123242,47.66782147,
333,3053 32ND AVE W,-122.39851917,47.6484096,
334,5011 48TH AVE S,-122.27294563,47.55664503,
335,7516 25TH AVE NW,-122.38845215,47.6837134,
336,3042 NW 64TH ST,-122.39755943,47.67536937,
337,3508 S OREGON ST,-122.2887427,47.56297321,
338,1593 PARKSIDE DR E,-122.29138755,47.63460286,
339,13003 4TH AVE NW,-122.36265853,47.72347576,
340,8759 PHINNEY AVE N,-122.35424965,47.69407027,
341,612 N 45TH ST,-122.35088977,47.66159606,
342,8755 PHINNEY AVE N,-122.35426157,47.6939539,
343,1716 22ND AVE S,-122.30351515,47.58789403,
344,1716 22ND AVE S,-122.30351515,47.58789403,
345,1716 22ND AVE S,-122.30351515,47.58789403,
346,1716 22ND AVE S,-122.30351515,47.58789403,
347,1716 22ND AVE S,-122.30351515,47.58789403,
348,1716 22ND AVE S,-122.30351515,47.58789403,
349,3406 FREMONT AVE N,-122.34944787,47.64983747,
350,708 23RD AVE,-122.3025652,47.60835107,
351,2119 29TH AVE S,-122.29545483,47.58383366,
352,2310 WESTMONT WAY W,-122.40581246,47.63919753,
