id,Application Permit,Address,Location_id,Project_Information_id,Application_Information_id
44429,6074604,1617 E HIGHLAND DR,44429,44429,44429
39573,6074674,10041 ARROWSMITH AVE S,39573,39573,39573
49917,6074763,3821 46TH AVE NE,49917,49917,49917
47573,6074793,1116 ALKI AVE SW,47573,47573,47573
39572,6074853,10045 ARROWSMITH AVE S,39572,39572,39572
30966,6074870,5043 BROOKLYN AVE NE,30966,30966,30966
39662,6074897,6609 SW ADMIRAL WAY,39662,39662,39662
47570,6074958,1226 S JACKSON ST,47570,47570,47570
39710,6074962,3320 31ST AVE SW,39710,39710,39710
49753,6075052,900 4TH AVE,49753,49753,49753
39719,6075064,5400 14TH AVE NW,39719,39719,39719
44439,6075083,2100 S JACKSON ST,44439,44439,44439
45259,6075114,7501 35TH AVE SW,45259,45259,45259
45428,6075126,120 CROCKETT ST,45428,45428,45428
48744,6075133,3431 CASCADIA AVE S,48744,48744,48744
48569,6075138,1000 NE 105TH ST,48569,48569,48569
46560,6075155,10671 MARINE VIEW DR SW,46560,46560,46560
5871,6075156,5950 41ST AVE SW,5871,5871,5871
50138,6075164,10752 ASHWORTH AVE N,50138,50138,50138
44403,6075165,4215 36TH AVE NE,44403,44403,44403
44440,6075170,7006 19TH AVE NE,44440,44440,44440
50092,6075171,1135 S WEBSTER ST,50092,50092,50092
46648,6075173,5548 CANFIELD PL N,46648,46648,46648
43483,6075196,8602 10TH AVE S,43483,43483,43483
7312,6075207,5927 CALIFORNIA AVE SW,7312,7312,7312
49939,6075231,,49939,49939,49939
44294,6075264,9226 38TH AVE S,44294,44294,44294
44360,6075278,1120 34TH AVE,44360,44360,44360
44426,6075497,1106 LAKEVIEW BLVD E,44426,44426,44426
45045,6075540,7337 35TH AVE NE,45045,45045,45045
8121,6075547,,8121,8121,8121
44408,6075571,1511 RAINIER AVE S,44408,44408,44408
47482,6075636,1750 23RD AVE,47482,47482,47482
47937,6075642,5420 DELRIDGE WAY SW,47937,47937,47937
