id,Application Permit,Action Type,Work Type,Value,Location_id
43483,6075196,NEW,Plan Review,$0.00,0
7312,6075207,NEW,Plan Review,$0.00,0
49939,6075231,,Plan Review,$0.00,0
44294,6075264,,Plan Review,$0.00,0
44360,6075278,,Plan Review,$0.00,0
44426,6075497,ADD/ALT,Plan Review,$0.00,0
45045,6075540,ADD/ALT,Plan Review,$0.00,0
8121,6075547,,Plan Review,$0.00,0
44408,6075571,NEW,Plan Review,$0.00,0
47482,6075636,CURB CUT,No plan review,$0.00,0
47937,6075642,,Plan Review,$0.00,0
45346,6075656,ADD/ALT,No plan review,$0.00,0
50265,6075666,ADD/ALT,No plan review,$0.00,0
46744,6075672,ADD/ALT,Plan Review,$0.00,0
39690,6075673,NEW,Plan Review,$8000000.00,0
50172,6075676,,No plan review,$0.00,0
46485,6075696,ADD/ALT,No plan review,$0.00,0
50190,6075717,,Plan Review,$0.00,0
48636,6075737,NEW,Plan Review,$0.00,0
39705,6075741,NEW,Plan Review,$1386585.00,0
48635,6075742,,Plan Review,$0.00,0
39713,6075777,ADD/ALT,Plan Review,$121309.00,0
43320,6075791,ADD/ALT,Plan Review,$380067.00,0
24707,6075900,SITE MONITORING ONLY,No plan review,$0.00,0
50091,6075979,ADD/ALT,Plan Review,$1750000.00,0
44336,6075982,ADD/ALT,Plan Review,$0.00,0
39521,6076104,ADD/ALT,Plan Review,$39682.00,0
26070,6076108,,No plan review,$0.00,0
47622,6076112,,Plan Review,$0.00,0
44710,6076114,NEW,Plan Review,$0.00,0
45801,6076119,,Plan Review,$0.00,0
39790,6076159,ADD/ALT,Plan Review,$14000.00,0
47187,6076224,GRADING,Plan Review,$0.00,0
45448,6076302,NO CONSTRUCTION,Plan Review,$253801.00,0
46710,6076309,,Plan Review,$0.00,0
44266,6076386,NEW,Plan Review,$0.00,0
44188,6076392,,Plan Review,$0.00,0
44049,6076398,ADD/ALT,Plan Review,$0.00,0
48001,6076424,,Plan Review,$0.00,0
48047,6076441,ADD/ALT,Plan Review,$0.00,0
50328,6076485,,Plan Review,$0.00,0
38504,6076492,NEW,Plan Review,$222562.00,0
44489,6076495,NEW,Plan Review,$0.00,0
47034,6076505,ADD/ALT,Plan Review,$0.00,0
15511,6076514,,Plan Review,$0.00,0
