City Feature,Common Name,Address,Website,Longitude,Latitude
Public Art,Bitter Lake Community Center,13035 Linden Ave N,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=13,-122.34863,47.72406
Public Art,Bitter Lake Community Center,13035 Linden Ave N,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=14,-122.34863,47.72406
Public Art,Longfellow Creek Trail,26th Ave SW & SW Genesee St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=3&view=2&img=0&item=10,-122.36546,47.56473
Public Art,High Point Branch Library,3411 SW Raymond St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=5&view=2&img=0&item=11,-122.37581,47.54804
Public Art,Garfield Community Center,2323 E Cherry St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=16,-122.30225,47.60775
Public Art,Garfield Community Center,2323 E Cherry St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=18,-122.30225,47.60775
Public Art,Meadowbrook Community Center,10517 35th Ave NE,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=20,-122.2918,47.70544
Public Art,Meadowbrook Community Center,10517 35th Ave NE,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=22,-122.2918,47.70544
Public Art,Meadowbrook Community Center,10517 35th Ave NE,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=23,-122.2918,47.70544
Public Art,Miller Community Center,330 19th Ave E,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=24,-122.30689,47.62176
Public Art,Miller Community Center,330 19th Ave E,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=25,-122.30689,47.62176
Public Art,Miller Community Center,330 19th Ave E,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=26,-122.30689,47.62176
Public Art,Northgate Community Center,10510 5th Ave NE,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=27,-122.32265,47.70533
Public Art,South Park Community Center,8319 8th Ave S,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=28,-122.32431,47.52832
Public Art,Van Asselt Community Center,2820 S Myrtle St,http://www.seattle.gov/arts/publicart/permanent.asp?cat=2&view=2&img=0&item=29,-122.29536,47.53939
Public Art,Montlake Branch Library,2401 24th Ave E,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=5&item=1,-122.302393,47.640565
Public Art,Seattle Art Museum,100 University St,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=9&item=1,-122.33777,47.607402
Public Art,Benaroya Hall,200 University St,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=9&item=2,-122.337173,47.607939
Public Art,Sixth Ave And Seneca St,6th Ave and Seneca St,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=9&item=3,-122.331945,47.608578
Public Art,Bergen Place Park,5420 22nd Ave NW,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=1&item=2,-122.384436,47.668408
Public Art,Sturgus Park,904 Sturgus Ave S,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=1&item=3,-122.314212,47.594141
Public Art,Mineral Springs Park,1500 N 105th St,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=1&item=4,-122.337812,47.705211
Public Art,Occidental Park,Occidental Ave S and S Main St,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=1&item=6,-122.333128,47.600268
Public Art,Woodland Park Zoo,5500 Phinney Ave N,http://www.seattle.gov/arts/publicart/permanent.asp?view=2&img=0&cat=1&item=7,-122.353686,47.668532
