Game,Away,Home,Week,Day,GameDate,Time,Stadium,Address,Capacity
112,Vikings,Bears,8,Sunday,11/1/2015,1:00 PM ET ,Soldier Field,"1410 Museum Campus Dr, Chicago, IL 60605","61,500"
113,Chargers,Ravens,8,Sunday,11/1/2015,1:00 PM ET ,M&T Bank Stadium,"1101 Russell St, Baltimore, MD 21230","71,008"
114,Bengals,Steelers,8,Sunday,11/1/2015,1:00 PM ET ,Heinz Field,"100 Art Rooney Ave, Pittsburgh, PA 15212","65,050"
115,Titans,Texans,8,Sunday,11/1/2015,1:00 PM ET ,NRG Stadium,"Reliant Pkwy, Houston, TX 77054","71,500"
116,Jets,Raiders,8,Sunday,11/1/2015,4:05 PM ET ,O.co Coliseum,"7000 Coliseum Way, Oakland, CA 94621","63,132"
117,Seahawks,Cowboys,8,Sunday,11/1/2015,4:25 PM ET ,AT&T Stadium,"1 AT&T Way, Arlington, TX 76011","80,000"
118,Packers,Broncos,8,Sunday,11/1/2015,8:30 PM ET ,Sports Authority Field at Mile High,"1701 Bryant St, Denver, CO 80204","76,125"
119,Colts,Panthers,8,Monday,11/2/2015,8:30 PM ET ,Bank of America Stadium,"800 S Mint St, Charlotte, NC 28202","75,412"
120,Browns,Bengals,9,Thursday,11/5/2015,8:25 PM ET ,Paul Brown Stadium,"1 Paul Brown Stadium, Cincinnati, OH 45202","65,535"
121,Packers,Panthers,9,Sunday,11/8/2015,1:00 PM ET ,Bank of America Stadium,"800 S Mint St, Charlotte, NC 28202","75,412"
122,Redskins,Patriots,9,Sunday,11/8/2015,1:00 PM ET ,Gillette Stadium,"1 Patriot Pl, Foxborough, MA 02035","68,756"
123,Titans,Saints,9,Sunday,11/8/2015,1:00 PM ET ,Mercedes-Benz Superdome,"1500 Sugar Bowl Dr, New Orleans, LA 70112","76,468"
124,Dolphins,Bills,9,Sunday,11/8/2015,1:00 PM ET ,Ralph Wilson Stadium,"1 Bills Dr, Orchard Park, NY 14127","71,870"
125,Rams,Vikings,9,Sunday,11/8/2015,1:00 PM ET ,TCF Bank Stadium,"420 SE 23rd Avenue 
Minneapolis, Minnesota 55455","52,525"
126,Jaguars,Jets,9,Sunday,11/8/2015,1:00 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
127,Raiders,Steelers,9,Sunday,11/8/2015,1:00 PM ET ,Heinz Field,"100 Art Rooney Ave, Pittsburgh, PA 15212","65,050"
128,Giants,Buccaneers,9,Sunday,11/8/2015,4:05 PM ET ,Raymond James Stadium,"4201 N Dale Mabry Hwy, Tampa, FL 33607","65,890"
129,Falcons,49ers,9,Sunday,11/8/2015,4:05 PM ET ,Levi's Stadium,"4900 Marie P DeBartolo Way, Santa Clara, CA 95054","68,500"
130,Broncos,Colts,9,Sunday,11/8/2015,4:25 PM ET ,Lucas Oil Stadium,"500 S Capitol Ave, Indianapolis, IN 46225","70,000"
131,Eagles,Cowboys,9,Sunday,11/8/2015,8:30 PM ET ,AT&T Stadium,"1 AT&T Way, Arlington, TX 76011","80,000"
132,Bears,Chargers,9,Monday,11/9/2015,8:30 PM ET ,Qualcomm Stadium,"9449 Friars Rd, San Diego, CA 92108","70,561"
133,Bills,Jets,10,Thursday,11/12/2015,8:25 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
134,Lions,Packers,10,Sunday,11/15/2015,1:00 PM ET ,Lambeau Field,"1265 Lombardi Ave, Green Bay, WI 54304","80,735"
135,Cowboys,Buccaneers,10,Sunday,11/15/2015,1:00 PM ET ,Raymond James Stadium,"4201 N Dale Mabry Hwy, Tampa, FL 33607","65,890"
136,Panthers,Titans,10,Sunday,11/15/2015,1:00 PM ET ,Nissan Stadium,"1 Titans Way, Nashville, TN 37213","69,143"
