id,application_permit,action_type,work_type,value,location_id
44067,6167176,ADD/ALT,Plan Review,$0.00,44067
46631,6167241,,Plan Review,$0.00,46631
12314,6167255,NEW,Plan Review,$559394.00,46043
38974,6167336,NEW,Plan Review,$156773.00,38974
46350,6167808,,Plan Review,$0.00,46350
38959,6168040,NEW,Plan Review,$108900.00,38959
43411,6168375,,No plan review,$0.00,43411
38908,6168418,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,46021
38757,6168494,NEW,Plan Review,$668770.00,38757
38947,6168513,,No plan review,$0.00,38948
38941,6168657,,No plan review,$0.00,38941
41785,6169221,NEW,Plan Review,$0.00,41785
38621,6169261,ADD/ALT,Plan Review,$189000.00,38621
46752,6169264,NEW,No plan review,$0.00,46752
46910,6169387,NEW,Plan Review,$0.00,46912
46699,6169740,,No plan review,$0.00,46699
38790,6169804,NEW,Plan Review,$367467.00,38790
44945,6170045,ADD/ALT,Plan Review,$0.00,44945
38711,6170075,ADD/ALT,Plan Review,$75000.00,38711
38920,6171012,NEW,Plan Review,$614449.00,38920
49841,6171150,ADD/ALT,Plan Review,$0.00,49841
44094,6171950,ADD/ALT,Plan Review,$0.00,44094
38840,6171958,ADD/ALT,Plan Review,$300000.00,38840
38839,6172208,NEW,Plan Review,$436429.00,38839
22704,6172778,ADD/ALT,Plan Review,$102000.00,48585
38902,6172782,,No plan review,$0.00,38903
38869,6173014,ADD/ALT,Plan Review,$15000.00,38869
38853,6173248,NEW,Plan Review,$388582.00,38854
38858,6173445,NEW,Plan Review,$1000000.00,48773
47560,6173452,ADD/ALT,Plan Review,$0.00,47560
