id,name,altname,xPos,yPos,hours,youth_only,lighting,location
146,Bradner Gardens Park,,-122.295426,47.587419,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1730 Bradner Pl S
(-122.295426, 47.587419)"
147,Bradner Gardens Park,,-122.295426,47.587419,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1730 Bradner Pl S
(-122.295426, 47.587419)"
148,Bradner Gardens Park,,-122.295426,47.587419,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1730 Bradner Pl S
(-122.295426, 47.587419)"
149,Bradner Gardens Park,,-122.295426,47.587419,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1730 Bradner Pl S
(-122.295426, 47.587419)"
150,Bradner Gardens Park,,-122.295426,47.587419,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1730 Bradner Pl S
(-122.295426, 47.587419)"
151,Bradner Gardens Park,,-122.295426,47.587419,4 a.m. - 11:30 p.m.,FALSE,FALSE,"1730 Bradner Pl S
(-122.295426, 47.587419)"
152,Brighton Playfield,,-122.2820996,47.54838735,6 a.m. - 10 p.m.,FALSE,TRUE,"6000 39th Ave S
(-122.2820996, 47.54838735)"
153,Brighton Playfield,,-122.2820996,47.54838735,6 a.m. - 10 p.m.,TRUE,FALSE,"6000 39th Ave S
(-122.2820996, 47.54838735)"
154,Brighton Playfield,,-122.2820996,47.54838735,6 a.m. - 10 p.m.,TRUE,FALSE,"6000 39th Ave S
(-122.2820996, 47.54838735)"
155,Brighton Playfield,,-122.2820996,47.54838735,6 a.m. - 10 p.m.,FALSE,FALSE,"6000 39th Ave S
(-122.2820996, 47.54838735)"
156,Brighton Playfield,,-122.2820996,47.54838735,6 a.m. - 10 p.m.,FALSE,FALSE,"6000 39th Ave S
(-122.2820996, 47.54838735)"
157,Brighton Playfield,,-122.2820996,47.54838735,6 a.m. - 10 p.m.,FALSE,FALSE,"6000 39th Ave S
(-122.2820996, 47.54838735)"
158,Brighton Playfield,,-122.2820996,47.54838735,6 a.m. - 10 p.m.,FALSE,FALSE,"6000 39th Ave S
(-122.2820996, 47.54838735)"
159,Brighton Playfield,,-122.2820996,47.54838735,6 a.m. - 10 p.m.,FALSE,FALSE,"6000 39th Ave S
(-122.2820996, 47.54838735)"
160,Brighton Playfield,,-122.2820996,47.54838735,6 a.m. - 10 p.m.,FALSE,FALSE,"6000 39th Ave S
(-122.2820996, 47.54838735)"
161,Brighton Playfield,,-122.2820996,47.54838735,6 a.m. - 10 p.m.,FALSE,FALSE,"6000 39th Ave S
(-122.2820996, 47.54838735)"
162,Brighton Playfield,,-122.2820996,47.54838735,6 a.m. - 10 p.m.,FALSE,FALSE,"6000 39th Ave S
(-122.2820996, 47.54838735)"
163,Bryant Neighborhood Playground,,-122.2836441,47.6752992,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4103 NE 65th St
(-122.2836441, 47.6752992)"
164,Bryant Neighborhood Playground,,-122.2836441,47.6752992,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4103 NE 65th St
(-122.2836441, 47.6752992)"
165,Bryant Neighborhood Playground,,-122.2836441,47.6752992,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4103 NE 65th St
(-122.2836441, 47.6752992)"
166,Bryant Neighborhood Playground,,-122.2836441,47.6752992,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4103 NE 65th St
(-122.2836441, 47.6752992)"
167,Bryant Neighborhood Playground,,-122.2836441,47.6752992,4 a.m. - 11:30 p.m.,FALSE,FALSE,"4103 NE 65th St
(-122.2836441, 47.6752992)"
168,Burke-Gilman Playground Park,,-122.282623,47.66663386,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5201 Sand Point Way NE
(-122.282623, 47.66663386)"
169,Burke-Gilman Playground Park,,-122.282623,47.66663386,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5201 Sand Point Way NE
(-122.282623, 47.66663386)"
170,Burke-Gilman Playground Park,,-122.282623,47.66663386,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5201 Sand Point Way NE
(-122.282623, 47.66663386)"
171,Burke-Gilman Playground Park,,-122.282623,47.66663386,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5201 Sand Point Way NE
(-122.282623, 47.66663386)"
172,Burke-Gilman Playground Park,,-122.282623,47.66663386,4 a.m. - 11:30 p.m.,FALSE,FALSE,"5201 Sand Point Way NE
(-122.282623, 47.66663386)"
173,Burke-Gilman Trail,,-122.284567,47.681597,4 a.m. - 11:30 p.m.,FALSE,FALSE,"From NE 145 St south on Lake Washington to Ballard
(-122.284567, 47.681597)"
