id,Category
811,SINGLE FAMILY / DUPLEX
812,SINGLE FAMILY / DUPLEX
813,SINGLE FAMILY / DUPLEX
814,COMMERCIAL
815,COMMERCIAL
816,MULTIFAMILY
817,INSTITUTIONAL
818,SINGLE FAMILY / DUPLEX
819,COMMERCIAL
820,SINGLE FAMILY / DUPLEX
821,COMMERCIAL
822,COMMERCIAL
823,SINGLE FAMILY / DUPLEX
824,SINGLE FAMILY / DUPLEX
825,SINGLE FAMILY / DUPLEX
826,SINGLE FAMILY / DUPLEX
827,COMMERCIAL
828,SINGLE FAMILY / DUPLEX
829,SINGLE FAMILY / DUPLEX
830,SINGLE FAMILY / DUPLEX
831,SINGLE FAMILY / DUPLEX
832,SINGLE FAMILY / DUPLEX
833,COMMERCIAL
834,COMMERCIAL
835,
836,SINGLE FAMILY / DUPLEX
837,MULTIFAMILY
838,MULTIFAMILY
839,COMMERCIAL
840,COMMERCIAL
841,MULTIFAMILY
842,SINGLE FAMILY / DUPLEX
843,SINGLE FAMILY / DUPLEX
844,COMMERCIAL
845,MULTIFAMILY
846,SINGLE FAMILY / DUPLEX
847,SINGLE FAMILY / DUPLEX
848,SINGLE FAMILY / DUPLEX
849,COMMERCIAL
850,SINGLE FAMILY / DUPLEX
851,SINGLE FAMILY / DUPLEX
852,COMMERCIAL
853,COMMERCIAL
854,COMMERCIAL
855,COMMERCIAL
856,SINGLE FAMILY / DUPLEX
857,SINGLE FAMILY / DUPLEX
858,SINGLE FAMILY / DUPLEX
859,SINGLE FAMILY / DUPLEX
860,SINGLE FAMILY / DUPLEX
861,MULTIFAMILY
862,SINGLE FAMILY / DUPLEX
863,COMMERCIAL
864,COMMERCIAL
865,SINGLE FAMILY / DUPLEX
866,COMMERCIAL
867,SINGLE FAMILY / DUPLEX
868,COMMERCIAL
869,SINGLE FAMILY / DUPLEX
870,COMMERCIAL
871,SINGLE FAMILY / DUPLEX
872,SINGLE FAMILY / DUPLEX
873,SINGLE FAMILY / DUPLEX
874,INSTITUTIONAL
875,COMMERCIAL
876,SINGLE FAMILY / DUPLEX
