id,Category,DesignType,DesignIncluded
442,MULTIFAMILY,II,Y
443,MULTIFAMILY,II,N
444,SINGLE FAMILY / DUPLEX,II,N
445,MULTIFAMILY,II,N
446,COMMERCIAL,II,Y
447,MULTIFAMILY,II,Y
448,MULTIFAMILY,I,N
449,MULTIFAMILY,II,N
450,MULTIFAMILY,II,N
451,COMMERCIAL,II,Y
452,MULTIFAMILY,II,N
453,SINGLE FAMILY / DUPLEX,II,N
454,MULTIFAMILY,I,N
455,MULTIFAMILY,II,N
456,MULTIFAMILY,III,Y
457,SINGLE FAMILY / DUPLEX,II,N
458,MULTIFAMILY,II,N
459,SINGLE FAMILY / DUPLEX,I,N
460,SINGLE FAMILY / DUPLEX,I,N
461,MULTIFAMILY,II,N
462,SINGLE FAMILY / DUPLEX,I,N
463,MULTIFAMILY,II,N
464,SINGLE FAMILY / DUPLEX,II,N
465,MULTIFAMILY,II,Y
466,COMMERCIAL,II,N
467,MULTIFAMILY,II,N
468,COMMERCIAL,II,N
469,MULTIFAMILY,II,N
470,COMMERCIAL,II,Y
471,SINGLE FAMILY / DUPLEX,I,N
472,MULTIFAMILY,II,N
473,MULTIFAMILY,II,N
474,COMMERCIAL,II,Y
475,MULTIFAMILY,II,N
476,COMMERCIAL,II,N
477,MULTIFAMILY,II,N
478,MULTIFAMILY,II,N
479,SINGLE FAMILY / DUPLEX,I,N
480,MULTIFAMILY,II,Y
481,INSTITUTIONAL,II,N
482,COMMERCIAL,II,N
483,SINGLE FAMILY / DUPLEX,I,N
484,SINGLE FAMILY / DUPLEX,II,N
485,SINGLE FAMILY / DUPLEX,II,N
486,MULTIFAMILY,II,N
487,MULTIFAMILY,I,N
488,COMMERCIAL,II,Y
489,MULTIFAMILY,II,N
490,MULTIFAMILY,II,N
491,MULTIFAMILY,II,N
492,SINGLE FAMILY / DUPLEX,II,N
493,INSTITUTIONAL,II,Y
494,SINGLE FAMILY / DUPLEX,II,N
495,SINGLE FAMILY / DUPLEX,II,N
496,MULTIFAMILY,II,N
497,MULTIFAMILY,II,N
498,COMMERCIAL,II,N
499,COMMERCIAL,II,N
