id,last_inspection_result,current_status
744,PASSED,ENFORCED COMPLIANCE
745,FAILED,OPEN
746,FAILED,OPEN
747,PASSED,VOLUNTARY COMPLIANCE
748,FAILED,OPEN
749,PASSED,VOLUNTARY COMPLIANCE
750,PASSED,ENFORCED COMPLIANCE
751,FAILED,OPEN
752,PASSED,VOLUNTARY COMPLIANCE
753,PASSED,VOLUNTARY COMPLIANCE
754,,OPEN
755,PASSED,VOLUNTARY COMPLIANCE
756,PASSED,ENFORCED COMPLIANCE
757,PASSED,VOLUNTARY COMPLIANCE
758,,OPEN
759,,OPEN
760,FAILED,OPEN
761,PASSED,VOLUNTARY COMPLIANCE
762,FAILED,OPEN
763,PASSED,VOLUNTARY COMPLIANCE
764,FAILED,OPEN
765,PASSED,ENFORCED COMPLIANCE
766,FAILED,OPEN
767,FAILED,OPEN
768,PASSED,VOLUNTARY COMPLIANCE
769,PASSED,VOLUNTARY COMPLIANCE
770,PASSED,VOLUNTARY COMPLIANCE
771,PASSED,VOLUNTARY COMPLIANCE
772,FAILED,OPEN
773,FAILED,OPEN
774,PASSED,VOLUNTARY COMPLIANCE
775,PASSED,VOLUNTARY COMPLIANCE
776,FAILED,OPEN
777,PASSED,ENFORCED COMPLIANCE
778,FAILED,OPEN
779,,OPEN
780,FAILED,OPEN
781,PASSED,VOLUNTARY COMPLIANCE
782,PASSED,VOLUNTARY COMPLIANCE
783,,ENFORCED COMPLIANCE
784,FAILED,OPEN
785,PASSED,VOLUNTARY COMPLIANCE
786,FAILED,OPEN
787,,OPEN
788,FAILED,OPEN
789,FAILED,OPEN
790,PASSED,VOLUNTARY COMPLIANCE
791,FAILED,OPEN
792,PASSED,VOLUNTARY COMPLIANCE
793,FAILED,OPEN
794,PASSED,VOLUNTARY COMPLIANCE
795,PASSED,VOLUNTARY COMPLIANCE
796,FAILED,OPEN
797,PASSED,VOLUNTARY COMPLIANCE
798,PASSED,VOLUNTARY COMPLIANCE
799,FAILED,ENFORCED COMPLIANCE
800,PASSED,VOLUNTARY COMPLIANCE
801,PASSED,VOLUNTARY COMPLIANCE
802,FAILED,OPEN
803,PASSED,ENFORCED COMPLIANCE
804,FAILED,OPEN
805,FAILED,OPEN
806,PASSED,VOLUNTARY COMPLIANCE
807,PASSED,VOLUNTARY COMPLIANCE
808,PASSED,VOLUNTARY COMPLIANCE
809,,OPEN
810,PASSED,VOLUNTARY COMPLIANCE
811,PASSED,ENFORCED COMPLIANCE
812,PASSED,VOLUNTARY COMPLIANCE
813,PASSED,ENFORCED COMPLIANCE
814,PASSED,ENFORCED COMPLIANCE
815,,ADMINISTRATIVE CLOSURE
816,FAILED,OPEN
817,FAILED,OPEN
818,PASSED,VOLUNTARY COMPLIANCE
819,PASSED,ENFORCED COMPLIANCE
820,,OPEN
821,PASSED,VOLUNTARY COMPLIANCE
822,,OPEN
823,PASSED,ENFORCED COMPLIANCE
824,FAILED,OPEN
825,FAILED,ADMINISTRATIVE CLOSURE
826,PASSED,ADMINISTRATIVE CLOSURE
827,PASSED,VOLUNTARY COMPLIANCE
828,FAILED,OPEN
829,PASSED,VOLUNTARY COMPLIANCE
830,FAILED,OPEN
831,,OPEN
832,FAILED,OPEN
833,FAILED,OPEN
834,FAILED,OPEN
835,PASSED,ENFORCED COMPLIANCE
836,PASSED,VOLUNTARY COMPLIANCE
837,PASSED,VOLUNTARY COMPLIANCE
838,PASSED,ENFORCED COMPLIANCE
839,PASSED,VOLUNTARY COMPLIANCE
840,PASSED,VOLUNTARY COMPLIANCE
841,PASSED,ENFORCED COMPLIANCE
842,FAILED,OPEN
843,FAILED,OPEN
844,PASSED,VOLUNTARY COMPLIANCE
845,PASSED,ENFORCED COMPLIANCE
846,PASSED,VOLUNTARY COMPLIANCE
847,PASSED,ENFORCED COMPLIANCE
848,PASSED,ADMINISTRATIVE CLOSURE
849,FAILED,OPEN
850,FAILED,OPEN
851,FAILED,OPEN
852,FAILED,OPEN
853,PASSED,VOLUNTARY COMPLIANCE
854,PASSED,ENFORCED COMPLIANCE
855,FAILED,ADMINISTRATIVE CLOSURE
856,FAILED,OPEN
857,PASSED,VOLUNTARY COMPLIANCE
858,FAILED,OPEN
859,FAILED,OPEN
860,FAILED,OPEN
861,PASSED,ENFORCED COMPLIANCE
862,FAILED,ENFORCED COMPLIANCE
863,PASSED,VOLUNTARY COMPLIANCE
864,PASSED,VOLUNTARY COMPLIANCE
865,PASSED,VOLUNTARY COMPLIANCE
866,PASSED,VOLUNTARY COMPLIANCE
867,PASSED,VOLUNTARY COMPLIANCE
868,PASSED,VOLUNTARY COMPLIANCE
869,,OPEN
870,PASSED,ENFORCED COMPLIANCE
871,,OPEN
872,PASSED,VOLUNTARY COMPLIANCE
873,PASSED,VOLUNTARY COMPLIANCE
874,PASSED,VOLUNTARY COMPLIANCE
875,FAILED,OPEN
876,FAILED,OPEN
877,PASSED,VOLUNTARY COMPLIANCE
878,PASSED,VOLUNTARY COMPLIANCE
879,PASSED,VOLUNTARY COMPLIANCE
880,FAILED,OPEN
881,FAILED,OPEN
882,PASSED,ENFORCED COMPLIANCE
883,,ADMINISTRATIVE CLOSURE
884,PASSED,VOLUNTARY COMPLIANCE
885,PASSED,ENFORCED COMPLIANCE
886,FAILED,OPEN
887,FAILED,OPEN
