ID,Street,Longitude,Latitude,BuildingPermit_id
222,7406 DAYTON AVE N,-122.35230175,47.68286429,
223,6235 AIRPORT WAY S,-122.31485079,47.54785836,
224,2024 21ST AVE S,-122.30501692,47.58528985,
225,1625 42ND AVE E,-122.27882509,47.63417227,
226,213 18TH AVE,-122.30930183,47.60396324,
227,4745 WEST MARGINAL WAY SW,-122.35222458,47.5599854,
228,4745 WEST MARGINAL WAY SW,-122.35222458,47.5599854,
229,1625 42ND AVE E,-122.27882509,47.63417227,
230,213 18TH AVE,-122.30930183,47.60396324,
231,1521 1ST AVE S,-122.33476028,47.58872242,
232,7100 35TH AVE SW,-122.37616203,47.53888877,
233,315 N 105TH ST,-122.35465715,47.7046043,
234,3625 INTERLAKE AVE N,-122.34174479,47.65138279,
235,2010 NE NORTHGATE WAY,-122.30566327,47.70873634,
236,3613 4TH AVE S,-122.33011958,47.57070622,
237,7944 9TH AVE SW,-122.3465078,47.53062729,
238,9618 20TH AVE NE,-122.30664528,47.69900664,
239,509 OLIVE WAY,-122.33686713,47.61275016,
240,2825 3RD AVE W,-122.36118175,47.645496,
241,3714 38TH AVE S,-122.28472463,47.57016195,
242,601 BELMONT AVE E,-122.32445393,47.62464104,
243,509 OLIVE WAY,-122.33686713,47.61275016,
244,5012 SW GENESEE ST,-122.39690312,47.56549837,
245,8021 EARL AVE NW,-122.39234317,47.68738966,
246,321 N 79TH ST,-122.35437451,47.68610283,
247,3021 NE 130TH ST,-122.29521288,47.72270038,
248,5619 M L KING JR WAY S,-122.28860098,47.55135818,
249,3423 13TH AVE W,-122.37389786,47.65105206,
250,5600 6TH AVE S,-122.32636629,47.55222356,
251,6921 ROOSEVELT WAY NE,-122.31764267,47.67916422,
252,6409 FRANCIS AVE N,-122.35364961,47.67568282,
253,708 23RD AVE,-122.3025652,47.60835107,
254,3025 NE 130TH ST,-122.29518044,47.72239375,
255,6733 CARLETON AVE S,-122.32233118,47.54154739,
256,6735 CARLETON AVE S,-122.32253724,47.54156806,
257,6735 CARLETON AVE S,-122.32253724,47.54156806,
258,6733 CARLETON AVE S,-122.32233118,47.54154739,
259,10713 19TH AVE NE,-122.30880681,47.70722649,
260,5950 OAKHURST RD S,-122.26227391,47.54957088,
261,915 FEDERAL AVE E,-122.31948946,47.62730261,
262,4428 EVANSTON AVE N,-122.35075478,47.66107524,
263,240 2ND AVE S,-122.33128396,47.60022466,
264,1730 MINOR AVE,-122.32966644,47.61695645,
265,3400 AIRPORT WAY S,-122.32203385,47.57271129,
266,3400 AIRPORT WAY S,-122.32203385,47.57271129,
267,935 NW 64TH ST,-122.3702512,47.67509018,
268,935 NW 64TH ST,-122.3702512,47.67509018,
269,935 NW 64TH ST,-122.3702512,47.67509018,
270,2400 3RD AVE,-122.34616655,47.61582105,
271,320 NW 112TH ST,-122.36177041,47.71073602,
272,312 NE LONGWOOD PL,-122.32499461,47.68446507,
273,300 NW 47TH ST,-122.36102269,47.66308039,
274,550 TERRY AVE N,-122.3367397,47.62398599,
275,2553 CRESTMONT PL W,-122.40767079,47.64199062,
276,2553 CRESTMONT PL W,-122.40767079,47.64199062,
277,9205 35TH AVE SW,-122.37705399,47.52083977,
278,9205 35TH AVE SW,-122.37705399,47.52083977,
279,3215 MAGNOLIA BLVD W,-122.41457615,47.64918257,
280,3215 MAGNOLIA BLVD W,-122.41457615,47.64918257,
281,537 N 137TH ST,-122.35178829,47.7280012,
282,2819 3RD AVE W,-122.36142945,47.64548531,
283,2819 3RD AVE W,-122.36142945,47.64548531,
284,4039 FAUNTLEROY WAY SW,-122.37431341,47.56676084,
285,2676 NE UNIVERSITY VILLAGE ST,-122.29776403,47.66364172,
286,2676 NE UNIVERSITY VILLAGE ST,-122.29776403,47.66364172,
287,2021 7TH AVE,-122.33836402,47.61523711,
288,701 5TH AVE,-122.33073506,47.60454089,
289,1420 5TH AVE,-122.33467931,47.6105508,
290,2019 S FERDINAND ST,-122.30645523,47.55811296,
291,2019 S FERDINAND ST,-122.30645523,47.55811296,
292,1500 16TH AVE,-122.31124863,47.61429209,
293,12016 DAYTON AVE N,-122.35261838,47.71654337,
294,1201 3RD AVE,-122.33612134,47.60723772,
295,1534 17TH AVE S,-122.31031376,47.58890186,
296,1536 17TH AVE S,-122.3102822,47.58888973,
297,1538 17TH AVE S,-122.31034188,47.58887191,
298,1538 17TH AVE S,-122.31034188,47.58887191,
299,2825B NE 105TH ST,-122.29585063,47.70373305,
300,321 15TH AVE E,-122.31316717,47.62129736,
301,4215 RAINIER AVE S,-122.28886386,47.56523993,
302,6213 37TH AVE NE,-122.28835122,47.67433997,
303,6213 37TH AVE NE,-122.28835122,47.67433997,
304,500 FAIRVIEW AVE N,-122.33409713,47.62345613,
305,7009 SEWARD PARK AVE S,-122.26776348,47.53952385,
306,10110 GREENWOOD AVE N,-122.35506018,47.7026942,
307,3811 CORLISS AVE N,-122.33177107,47.65356257,
308,5408 26TH AVE NE,-122.29920108,47.66829243,
309,3322 W GOVERNMENT WAY,-122.40053034,47.6599128,
310,213 W KINNEAR PL,-122.35987352,47.62753282,
311,213 W KINNEAR PL,-122.35987352,47.62753282,
312,213 W KINNEAR PL,-122.35987352,47.62753282,
313,325 N 90TH ST,-122.35455042,47.69405026,
314,1118 15TH AVE E,-122.312255,47.62942146,
315,4616 44TH AVE S,-122.2778681,47.56124328,
316,1215 N 44TH ST,-122.34303857,47.65977697,
317,7036 43RD AVE NE,-122.28262296,47.68062871,
318,1817 28TH AVE W,-122.39336097,47.63577601,
319,3229 38TH AVE SW,-122.38060811,47.57466437,
