ID,PermitNumber,PermitType,Status
553,6519970,Construction,Permit Issued
554,6516168,Construction,Application Accepted
555,6520801,Construction,Application Accepted
556,6521218,Construction,Application Accepted
557,6528199,Construction,Permit Issued
558,6528419,Construction,Permit Issued
559,6528393,Site Development,Application Accepted
560,6528393,Site Development,Application Accepted
561,6527684,Demolition,Reviews Completed
562,6517072,Construction,Application Accepted
563,6528373,Construction,Application Accepted
564,6528373,Construction,Application Accepted
565,6524155,Construction,Application Accepted
566,6528386,Demolition,Reviews Completed
567,6523987,Construction,Application Accepted
568,6525728,Construction,Application Accepted
569,6524896,Construction,Application Accepted
570,6505822,Construction,Application Accepted
571,6528224,Demolition,Reviews Completed
572,6503988,Construction,Application Accepted
573,6528358,Demolition,Reviews Completed
574,6528396,Construction,Permit Closed
575,6513525,Construction,Application Accepted
576,6463140,Construction,Permit Issued
577,6515537,Construction,Application Accepted
578,6528233,Demolition,Reviews Completed
579,6496438,Construction,Application Accepted
580,6528334,Construction,Permit Closed
581,6506266,Construction,Application Accepted
582,6525341,Construction,Permit Issued
583,6528271,Construction,Permit Issued
584,6528271,Construction,Permit Issued
585,6515660,Construction,Application Accepted
586,6512128,Construction,Permit Issued
587,6528320,Construction,Permit Issued
588,6528320,Construction,Permit Issued
589,6524730,Construction,Permit Issued
590,6526657,Construction,Application Accepted
591,6492770,Construction,Application Accepted
592,6528248,Site Development,AP Closed
593,6524151,Construction,Permit Issued
594,6518818,Construction,Application Accepted
595,6528240,Site Development,AP Closed
596,6528138,Construction,Application Accepted
597,6528138,Construction,Application Accepted
598,6528140,Demolition,Reviews Completed
599,6516723,Construction,Reviews Completed
600,6528215,Construction,Permit Issued
601,6528217,Construction,Permit Issued
602,6109296,Construction,Initial Information Collected
603,6528185,Construction,Permit Issued
604,6528211,Construction,Permit Issued
605,6509246,Construction,Application Accepted
606,6504968,Construction,Application Accepted
607,6521377,Construction,Application Accepted
608,6524131,Construction,Permit Issued
609,6523068,Construction,Application Accepted
610,6506254,Construction,Application Accepted
611,6528126,Construction,Permit Issued
