id,WEBNAME,REGIONID,OUTOFSERV,VACANT,STATUS,DATETIME
296,DIAMOND,0,,,,['DATETIME']
297,DIAMOND,0,,,,['DATETIME']
298,QWEST FIELD PARKING - NORTH LOT,0,,,,['DATETIME']
299,THE FINANCIAL CENTER,0,,,,['DATETIME']
300,REPUBLIC,0,,,,['DATETIME']
301,UNITED,0,,,,['DATETIME']
302,WOODLAND PARK ZOO LOT,0,,,,['DATETIME']
303,,0,,,,['DATETIME']
304,DIAMOND,0,,,,['DATETIME']
305,DIAMOND,0,,,,['DATETIME']
306,DIAMOND,0,,,,['DATETIME']
307,424 BOREN AV NORTH LOT,0,,,,['DATETIME']
308,U-PARK,0,,,,['DATETIME']
309,U-PARK,0,,,,['DATETIME']
310,DIAMOND,0,,,,['DATETIME']
311,AMPCO,0,,,,['DATETIME']
312,AMPCO,0,,,,['DATETIME']
313,MERCHANTS PARKING ASSOC,0,,,,['DATETIME']
314,,,,,,['DATETIME']
315,DONNAS DINER,0,,,,['DATETIME']
316,DIAMOND,0,,,,['DATETIME']
317,WILLIS & SONS,0,,,,['DATETIME']
318,DIAMOND,0,,,,['DATETIME']
319,AMAZON PHASE 3 #81876,0,,,,['DATETIME']
320,DIAMOND,0,,,,['DATETIME']
321,EXPEDITOR GARAGE,0,,,,['DATETIME']
322,DIAMOND,0,,,,['DATETIME']
323,FRYE PARKING GARAGE,0,,,,['DATETIME']
324,AMAZON PHASE 1A #81865,0,,,,['DATETIME']
325,REPUBLIC,0,,,,['DATETIME']
326,DIAMOND,0,,,,['DATETIME']
327,DIAMOND,0,,,,['DATETIME']
328,SEATTLE CENTER MERCER GARAGE,0,,,,['DATETIME']
329,DIAMOND,0,,,,['DATETIME']
330,DIAMOND,0,,,,['DATETIME']
331,Genesis #81968,0,,,,['DATETIME']
332,U-PARK,0,,,,['DATETIME']
333,DIAMOND,0,,,,['DATETIME']
334,Foley - Green  #82018,0,,,,['DATETIME']
335,REPUBLIC,0,,,,['DATETIME']
336,DIAMOND,0,,,,['DATETIME']
337,WATERMARK TOWER GARAGE,20,N,47,47,['DATETIME']
338,REPUBLIC - PI BLDG,0,,,,['DATETIME']
339,IPM - Union Station South,0,,,,['DATETIME']
340,AMPCO - VIRGINIA MASON,0,,,,['DATETIME']
341,UNITED,0,,,,['DATETIME']
342,DIAMOND,0,,,,['DATETIME']
343,U-PARK,0,,,,['DATETIME']
344,STEVE JOHNSON LOT,0,,,,['DATETIME']
345,PACIFIC PARKING,0,,,,['DATETIME']
346,U-PARK,0,,,,['DATETIME']
347,REPUBLIC,0,,,,['DATETIME']
