id,applicant_id,application_date,decision_date,issue_date
713,,09/03/2015,04/04/2016,04/04/2016
714,,09/03/2015,11/19/2015,11/19/2015
715,,09/03/2015,04/07/2016,04/07/2016
716,,09/02/2015,02/18/2016,02/18/2016
717,,09/01/2015,10/29/2015,10/29/2015
718,,09/01/2015,10/29/2015,10/29/2015
719,,09/01/2015,,
720,,09/01/2015,11/09/2015,11/09/2015
721,,08/31/2015,,
722,,08/31/2015,11/09/2015,11/09/2015
723,,08/31/2015,11/30/2015,11/30/2015
724,,08/31/2015,,
725,,08/31/2015,,
726,,08/31/2015,,
727,,08/31/2015,,
728,,08/31/2015,,
729,,08/31/2015,,
730,,08/29/2015,10/29/2015,10/29/2015
731,,08/28/2015,01/05/2016,01/05/2016
732,,08/27/2015,,
733,,08/27/2015,12/03/2015,12/03/2015
734,,,,
735,,08/27/2015,11/12/2015,11/12/2015
736,,08/27/2015,,
737,,08/27/2015,,
738,,08/27/2015,11/09/2015,11/09/2015
739,,08/26/2015,02/11/2016,02/11/2016
740,,08/26/2015,11/30/2015,11/30/2015
741,,08/26/2015,,
742,,08/26/2015,,
743,,08/26/2015,,
744,,08/25/2015,11/16/2015,11/16/2015
745,,08/24/2015,10/12/2015,10/12/2015
746,,08/24/2015,11/25/2015,11/25/2015
747,,08/24/2015,10/19/2015,10/19/2015
748,,08/24/2015,11/16/2015,11/16/2015
749,,08/24/2015,12/17/2015,12/17/2015
750,,08/24/2015,12/31/2015,12/31/2015
751,,08/24/2015,,
752,,08/24/2015,,
753,,08/24/2015,,
754,,08/20/2015,01/28/2016,01/28/2016
755,,08/19/2015,,
756,,08/19/2015,10/08/2015,10/08/2015
757,,08/19/2015,11/12/2015,11/12/2015
758,,08/19/2015,02/11/2016,02/11/2016
759,,08/19/2015,10/26/2015,10/26/2015
760,,08/19/2015,07/28/2015,07/28/2015
761,,08/18/2015,01/28/2016,01/28/2016
762,,08/18/2015,11/30/2015,11/30/2015
763,,08/18/2015,12/10/2015,12/10/2015
764,,08/18/2015,03/10/2016,03/10/2016
765,,08/18/2015,12/28/2015,12/28/2015
766,,08/18/2015,,
767,,08/17/2015,10/08/2015,10/08/2015
768,,08/17/2015,01/25/2016,01/25/2016
769,,08/17/2015,02/08/2016,02/08/2016
770,,08/17/2015,07/20/2015,07/20/2015
771,,08/17/2015,07/20/2015,07/20/2015
772,,08/14/2015,10/15/2015,10/15/2015
773,,08/13/2015,12/21/2015,12/21/2015
774,,08/13/2015,,
775,,08/12/2015,12/31/2015,12/31/2015
776,,08/12/2015,10/08/2015,10/08/2015
777,,08/11/2015,,
778,,08/11/2015,03/24/2016,03/24/2016
779,,08/11/2015,,
780,,08/11/2015,,
781,,08/11/2015,,
782,,08/11/2015,,
783,,08/11/2015,,
784,,08/10/2015,,
785,,08/07/2015,11/06/2015,11/06/2015
786,,,,
787,,08/07/2015,02/09/2016,02/09/2016
788,,08/07/2015,11/05/2015,11/05/2015
789,,08/07/2015,,
790,,08/07/2015,10/12/2015,10/12/2015
791,,08/07/2015,01/14/2016,01/14/2016
792,,08/07/2015,09/15/2015,09/15/2015
793,,08/07/2015,,
794,,08/07/2015,,
795,,08/06/2015,10/02/2015,10/02/2015
796,,08/06/2015,11/09/2015,11/09/2015
797,,08/06/2015,08/13/2015,08/13/2015
798,,08/06/2015,11/30/2015,11/30/2015
799,,08/05/2015,,
800,,08/05/2015,12/03/2015,12/03/2015
801,,08/05/2015,,
802,,08/04/2015,,
803,,08/04/2015,,
804,,08/04/2015,12/03/2015,12/03/2015
805,,08/04/2015,,
806,,08/04/2015,06/11/2015,06/11/2015
807,,08/04/2015,,
808,,08/03/2015,09/03/2015,09/03/2015
809,,08/03/2015,10/15/2015,10/15/2015
810,,08/03/2015,10/26/2015,10/26/2015
811,,07/31/2015,10/12/2015,10/12/2015
812,,07/31/2015,01/28/2016,01/28/2016
813,,07/30/2015,,
814,,07/30/2015,08/31/2015,08/31/2015
