id,group
804,WEEDS AND VEGETATION
805,ZONING
806,SITE
807,ZONING
808,WEEDS AND VEGETATION
809,ZONING
810,ZONING
811,ZONING
812,ZONING
813,SITE
814,ZONING
815,ZONING
816,ZONING
817,HOUSING
818,BUILDING
819,TENANT RELOCATION ASSIST ORD
820,ZONING
821,BUILDING
822,ZONING
823,ZONING
824,HOUSING
825,ZONING
826,HOUSING
827,TENANT RELOCATION ASSIST ORD
828,ZONING
829,ZONING
830,ZONING
831,ZONING
832,ZONING
833,ZONING
834,ZONING
835,ZONING
836,ZONING
837,ZONING
838,HOUSING
839,JUST CAUSE EVICTION
840,ZONING
841,ZONING
842,ZONING
843,WEEDS AND VEGETATION
844,ZONING
845,ZONING
846,ZONING
847,ZONING
848,TENANT RELOCATION ASSIST ORD
849,ZONING
850,SIGNS
851,ZONING
852,ZONING
853,HOUSING
854,ZONING
855,ZONING
856,BUILDING
857,SITE
858,JUST CAUSE EVICTION
859,TENANT RELOCATION ASSIST ORD
860,ZONING
861,TENANT RELOCATION ASSIST ORD
862,BUILDING
863,HOUSING
864,ZONING
865,ZONING
866,HOUSING
867,ZONING
868,ZONING
869,ZONING
870,BUILDING
871,TENANT RELOCATION ASSIST ORD
872,BUILDING
873,ZONING
874,ZONING
875,ZONING
876,BUILDING
877,ZONING
878,HOUSING
879,ZONING
880,WEEDS AND VEGETATION
881,ZONING
882,BUILDING
883,ZONING
884,ZONING
885,WEEDS AND VEGETATION
886,HOUSING
887,WEEDS AND VEGETATION
888,HOUSING
889,BUILDING
890,BUILDING
891,VACANT BUILDING
892,HOUSING
893,ZONING
894,SITE
895,ZONING
896,VACANT BUILDING
897,ZONING
898,ZONING
899,ZONING
900,BUILDING
901,HOUSING
902,ZONING
903,ZONING
904,WEEDS AND VEGETATION
905,WEEDS AND VEGETATION
906,WEEDS AND VEGETATION
907,ZONING
908,WEEDS AND VEGETATION
909,WEEDS AND VEGETATION
910,TENANT RELOCATION ASSIST ORD
911,HOUSING
912,TENANT RELOCATION ASSIST ORD
913,ZONING
914,ZONING
915,ZONING
916,CONSTRUCTION NOISE
917,ZONING
918,WEEDS AND VEGETATION
919,ZONING
920,ZONING
921,BUILDING
922,ZONING
923,WEEDS AND VEGETATION
924,TENANT RELOCATION ASSIST ORD
925,ZONING
926,HOUSING
927,VACANT BUILDING
928,VACANT BUILDING
929,CONSTRUCTION NOISE
930,SITE
931,SITE
932,VACANT BUILDING
933,VACANT BUILDING
934,BUILDING
935,ZONING
936,HOUSING
937,VACANT BUILDING
938,HOUSING
939,HOUSING
940,ZONING
941,ZONING
942,HOUSING
943,BUILDING
944,VACANT BUILDING
945,ZONING
946,MECHANICAL
