id,Action Type,Work Type
663,DEMOLITION,No plan review
664,NEW,Plan Review
665,NEW,Plan Review
666,NEW,Plan Review
667,NEW,Plan Review
668,NEW,Plan Review
669,ADD/ALT,Plan Review
670,ADD/ALT,Plan Review
671,NEW,Plan Review
672,NEW,Plan Review
673,DEMOLITION,No plan review
674,DEMOLITION,No plan review
675,SHORELINE EXEMPTION ONLY,Plan Review
676,ADD/ALT,No plan review
677,ADD/ALT,No plan review
678,NEW,Plan Review
679,DEMOLITION,No plan review
680,ADD/ALT,Plan Review
681,DEMOLITION,No plan review
682,ADD/ALT,Plan Review
683,ADD/ALT,Plan Review
684,ADD/ALT,Plan Review
685,ADD/ALT,No plan review
686,ADD/ALT,No plan review
687,ADD/ALT,No plan review
688,DEMOLITION,Plan Review
689,ADD/ALT,Plan Review
690,ADD/ALT,Plan Review
691,ADD/ALT,No plan review
692,ADD/ALT,No plan review
693,ADD/ALT,No plan review
694,ADD/ALT,No plan review
695,ALTER,Plan Review
696,ADD/ALT,No plan review
697,ADD/ALT,No plan review
698,ADD/ALT,Plan Review
699,ADD/ALT,Plan Review
700,NEW,Plan Review
701,ADD/ALT,Plan Review
702,ADD/ALT,Plan Review
703,ALTER,Plan Review
704,NEW,Plan Review
705,ADD/ALT,No plan review
706,ADD/ALT,Plan Review
707,DEMOLITION,No plan review
708,NEW,No plan review
709,NEW,No plan review
710,NEW,No plan review
711,ADD/ALT,No plan review
712,ADD/ALT,No plan review
713,ADD/ALT,Plan Review
714,ADD/ALT,Plan Review
715,ADD/ALT,No plan review
716,ADD/ALT,No plan review
717,NEW,Plan Review
718,ADD/ALT,No plan review
719,ADD/ALT,No plan review
720,NEW,Plan Review
721,ADD/ALT,Plan Review
722,ADD/ALT,No plan review
723,NEW,Plan Review
724,NEW,Plan Review
725,NEW,Plan Review
726,DEMOLITION,No plan review
727,ADD/ALT,No plan review
728,ADD/ALT,No plan review
729,ADD/ALT,No plan review
730,ADD/ALT,Plan Review
731,ADD/ALT,Plan Review
732,ADD/ALT,No plan review
733,ADD/ALT,No plan review
734,ADD/ALT,No plan review
735,ADD/ALT,Plan Review
736,ADD/ALT,Plan Review
737,ADD/ALT,Plan Review
738,NEW,Plan Review
739,NEW,Plan Review
740,ADD/ALT,Plan Review
741,DEMOLITION,No plan review
742,ADD/ALT,Plan Review
743,NEW,Plan Review
744,NEW,Plan Review
745,TREE/VEGETATION MAINT/RESTORE,No plan review
746,ADD/ALT,No plan review
747,DEMOLITION,No plan review
748,NEW,Plan Review
749,ADD/ALT,No plan review
750,ADD/ALT,Plan Review
751,ADD/ALT,Plan Review
752,NEW,Plan Review
753,ADD/ALT,Plan Review
754,NEW,Plan Review
755,ADD/ALT,No plan review
756,ADD/ALT,No plan review
757,ADD/ALT,No plan review
758,ADD/ALT,No plan review
759,ADD/ALT,No plan review
760,ADD/ALT,No plan review
761,ADD/ALT,No plan review
762,ALTER,Plan Review
763,ADD/ALT,No plan review
764,ADD/ALT,No plan review
765,ADD/ALT,No plan review
766,ALTER,Plan Review
767,ADD/ALT,Plan Review
768,ADD/ALT,No plan review
769,DEMOLITION,No plan review
770,DEMOLITION,No plan review
771,ADD/ALT,Plan Review
772,ADD/ALT,No plan review
773,ADD/ALT,No plan review
774,ADD/ALT,Plan Review
775,DEMOLITION,No plan review
776,NEW,Plan Review
777,ADD/ALT,Plan Review
778,NEW,Plan Review
779,ADD/ALT,Plan Review
780,DEMOLITION,No plan review
781,NEW,Plan Review
782,ADD/ALT,No plan review
783,ADD/ALT,No plan review
784,ADD/ALT,No plan review
785,ADD/ALT,No plan review
786,ADD/ALT,No plan review
787,ADD/ALT,Plan Review
788,ADD/ALT,Plan Review
789,ADD/ALT,Plan Review
790,ADD/ALT,Plan Review
791,NEW,Plan Review
792,NEW,Plan Review
793,NEW,Plan Review
794,TREE/VEGETATION MAINT/RESTORE,No plan review
795,ADD/ALT,No plan review
796,ADD/ALT,No plan review
797,ADD/ALT,No plan review
798,ADD/ALT,Plan Review
799,ADD/ALT,Plan Review
800,ADD/ALT,Plan Review
801,ADD/ALT,Plan Review
802,DEMOLITION,No plan review
803,ADD/ALT,Plan Review
804,ADD/ALT,Plan Review
805,TREE/VEGETATION MAINT/RESTORE,No plan review
806,ADD/ALT,Plan Review
807,ADD/ALT,Plan Review
808,ADD/ALT,Plan Review
809,ADD/ALT,Plan Review
810,ADD/ALT,No plan review
811,ADD/ALT,No plan review
812,ADD/ALT,No plan review
813,TREE/VEGETATION MAINT/RESTORE,No plan review
814,ADD/ALT,No plan review
815,ADD/ALT,No plan review
816,ADD/ALT,No plan review
817,NEW,Plan Review
818,DEMOLITION,No plan review
819,ADD/ALT,Plan Review
820,ADD/ALT,Plan Review
821,ADD/ALT,Plan Review
822,ADD/ALT,Plan Review
823,ADD/ALT,Plan Review
824,ADD/ALT,Plan Review
825,ADD/ALT,No plan review
826,ADD/ALT,No plan review
827,ADD/ALT,Plan Review
828,ADD/ALT,No plan review
829,ALTER,Plan Review
830,ADD/ALT,Plan Review
831,ADD/ALT,No plan review
832,NEW,Plan Review
833,ADD/ALT,Plan Review
834,ADD/ALT,Plan Review
835,ADD/ALT,Plan Review
836,NEW,Plan Review
837,ADD/ALT,Plan Review
838,ADD/ALT,Plan Review
839,ADD/ALT,Plan Review
840,NEW,Plan Review
841,NEW,Plan Review
842,DEMOLITION,No plan review
843,ADD/ALT,Plan Review
844,ADD/ALT,Plan Review
845,ADD/ALT,No plan review
846,ADD/ALT,No plan review
