id,Action Type,Work Type
37465,ADD/ALT,Plan Review
37466,ADD/ALT,Plan Review
37467,NEW,Plan Review
37468,ALTER,Plan Review
37469,ADD/ALT,Plan Review
37470,NEW,Plan Review
37471,NEW,Plan Review
37472,DEMOLITION,No plan review
37473,NEW,Plan Review
37474,NEW,Plan Review
37475,ADD/ALT,Plan Review
37476,ADD/ALT,Plan Review
37477,NEW,Plan Review
37478,DEMOLITION,No plan review
37479,ADD/ALT,Plan Review
37480,ADD/ALT,Plan Review
37481,ADD/ALT,Plan Review
37482,ADD/ALT,Plan Review
37483,NEW,Plan Review
37484,,Plan Review
37485,DEMOLITION,No plan review
37486,DEMOLITION,No plan review
37487,ADD/ALT,Plan Review
37488,ADD/ALT,Plan Review
37489,ADD/ALT,Plan Review
37490,ADD/ALT,Plan Review
37491,ADD/ALT,Plan Review
37492,ADD/ALT,Plan Review
37493,ADD/ALT,Plan Review
37494,NEW,Plan Review
37495,ADD/ALT,Plan Review
37496,DEMOLITION,No plan review
37497,NEW,Plan Review
37498,TEMP,Plan Review
37499,ADD/ALT,Plan Review
37500,ADD/ALT,Plan Review
37501,ADD/ALT,Plan Review
37502,NEW,Plan Review
37503,ADD/ALT,Plan Review
37504,NEW,Plan Review
37505,ADD/ALT,Plan Review
37506,ADD/ALT,Plan Review
37507,NEW,Plan Review
37508,DEMOLITION,No plan review
37509,NEW,Plan Review
37510,NEW,Plan Review
37511,NEW,Plan Review
37512,NEW,Plan Review
37513,DEMOLITION,No plan review
37514,NEW,Plan Review
37515,DEMOLITION,No plan review
37516,ADD/ALT,Plan Review
37517,ADD/ALT,Plan Review
37518,DEMOLITION,No plan review
37519,NEW,Plan Review
37520,NEW,Plan Review
37521,ADD/ALT,Plan Review
37522,ADD/ALT,Plan Review
37523,ADD/ALT,Plan Review
37524,ADD/ALT,Plan Review
37525,ADD/ALT,Plan Review
37526,NEW,Plan Review
37527,ADD/ALT,Plan Review
37528,ADD/ALT,Plan Review
37529,ADD/ALT,Plan Review
37530,ADD/ALT,Plan Review
37531,NEW,Plan Review
37532,TREE/VEGETATION MAINT/RESTORE,No plan review
37533,ADD/ALT,Plan Review
37534,ADD/ALT,Plan Review
37535,ADD/ALT,Plan Review
37536,ADD/ALT,Plan Review
37537,ADD/ALT,Plan Review
37538,ADD/ALT,Plan Review
37539,ADD/ALT,Plan Review
37540,ADD/ALT,Plan Review
37541,ADD/ALT,Plan Review
37542,ADD/ALT,Plan Review
37543,ADD/ALT,Plan Review
37544,ADD/ALT,Plan Review
37545,ADD/ALT,Plan Review
37546,ADD/ALT,Plan Review
37547,ADD/ALT,Plan Review
37548,ADD/ALT,Plan Review
37549,ADD/ALT,Plan Review
37550,TREE/VEGETATION MAINT/RESTORE,No plan review
37551,NEW,Plan Review
37552,NEW,Plan Review
37553,NEW,Plan Review
37554,ADD/ALT,Plan Review
37555,ADD/ALT,Plan Review
37556,NEW,Plan Review
37557,DEMOLITION,No plan review
37558,NEW,Plan Review
37559,ADD/ALT,Plan Review
37560,ADD/ALT,Plan Review
37561,NEW,Plan Review
37562,ADD/ALT,Plan Review
37563,ADD/ALT,Plan Review
37564,ADD/ALT,Plan Review
37565,ADD/ALT,Plan Review
37566,NEW,Plan Review
37567,NEW,Plan Review
37568,NEW,Plan Review
37569,NEW,Plan Review
37570,NEW,Plan Review
37571,NEW,Plan Review
37572,ADD/ALT,Plan Review
37573,NEW,Plan Review
37574,NEW,Plan Review
37575,ADD/ALT,Plan Review
37576,NEW,Plan Review
37577,TREE/VEGETATION MAINT/RESTORE,No plan review
37578,TREE/VEGETATION MAINT/RESTORE,No plan review
37579,ADD/ALT,Plan Review
37580,ADD/ALT,Plan Review
37581,ADD/ALT,Plan Review
37582,ADD/ALT,Plan Review
37583,ADD/ALT,Plan Review
37584,NEW,Plan Review
37585,ADD/ALT,Plan Review
37586,ADD/ALT,Plan Review
37587,TEMP,Plan Review
37588,NEW,Plan Review
37589,ADD/ALT,Plan Review
37590,ADD/ALT,Plan Review
37591,ADD/ALT,Plan Review
37592,ADD/ALT,Plan Review
37593,DEMOLITION,No plan review
37594,NEW,Plan Review
37595,NEW,Plan Review
37596,ADD/ALT,Plan Review
37597,ADD/ALT,Plan Review
37598,ADD/ALT,Plan Review
37599,NEW,Plan Review
37600,NEW,Plan Review
37601,ADD/ALT,Plan Review
37602,ADD/ALT,Plan Review
37603,ADD/ALT,Plan Review
37604,ADD/ALT,Plan Review
37605,ADD/ALT,Plan Review
37606,NEW,Plan Review
37607,DEMOLITION,No plan review
37608,TREE/VEGETATION MAINT/RESTORE,No plan review
37609,GRADING,Plan Review
37610,ADD/ALT,Plan Review
37611,NEW,Plan Review
37612,NEW,Plan Review
37613,ADD/ALT,Plan Review
37614,ADD/ALT,Plan Review
37615,ADD/ALT,Plan Review
37616,ADD/ALT,Plan Review
37617,NEW,Plan Review
37618,NEW,Plan Review
37619,ADD/ALT,Plan Review
37620,NEW,Plan Review
37621,ADD/ALT,Plan Review
37622,NEW,Plan Review
37623,ADD/ALT,Plan Review
37624,NEW,Plan Review
37625,ADD/ALT,Plan Review
37626,DEMOLITION,No plan review
37627,DEMOLITION,No plan review
37628,NEW,Plan Review
37629,TREE/VEGETATION MAINT/RESTORE,No plan review
37630,DEMOLITION,No plan review
37631,NEW,Plan Review
37632,ADD/ALT,Plan Review
37633,NEW,Plan Review
37634,DEMOLITION,No plan review
37635,NEW,Plan Review
37636,DEMOLITION,No plan review
37637,NEW,Plan Review
37638,NEW,Plan Review
37639,ADD/ALT,Plan Review
37640,NEW,Plan Review
37641,ADD/ALT,Plan Review
37642,NEW,Plan Review
37643,ADD/ALT,Plan Review
37644,ADD/ALT,Plan Review
37645,ADD/ALT,Plan Review
37646,TEMP,Plan Review
37647,NEW,Plan Review
37648,TREE/VEGETATION MAINT/RESTORE,No plan review
37649,ADD/ALT,Plan Review
37650,NEW,Plan Review
37651,NEW,Plan Review
37652,ADD/ALT,Plan Review
37653,TREE/VEGETATION MAINT/RESTORE,No plan review
37654,TREE/VEGETATION MAINT/RESTORE,No plan review
37655,ADD/ALT,Plan Review
37656,TREE/VEGETATION MAINT/RESTORE,No plan review
37657,CURB CUT,No plan review
37658,NEW,Plan Review
37659,ADD/ALT,Plan Review
37660,ADD/ALT,Plan Review
37661,TREE/VEGETATION MAINT/RESTORE,No plan review
37662,ADD/ALT,Plan Review
37663,NEW,Plan Review
37664,ADD/ALT,Plan Review
37665,NEW,Plan Review
37666,ADD/ALT,Plan Review
37667,NEW,Plan Review
37668,DEMOLITION,No plan review
37669,ADD/ALT,Plan Review
37670,ADD/ALT,Plan Review
37671,NEW,Plan Review
37672,ADD/ALT,Plan Review
37673,DEMOLITION,No plan review
37674,NEW,Plan Review
37675,NEW,Plan Review
37676,NEW,Plan Review
37677,NEW,Plan Review
37678,GRADING,Plan Review
37679,GRADING,Plan Review
37680,GRADING,Plan Review
37681,TREE/VEGETATION MAINT/RESTORE,No plan review
37682,ADD/ALT,Plan Review
37683,ADD/ALT,Plan Review
37684,ADD/ALT,Plan Review
37685,ADD/ALT,Plan Review
37686,ADD/ALT,Plan Review
37687,TREE/VEGETATION MAINT/RESTORE,No plan review
37688,NEW,Plan Review
37689,ADD/ALT,Plan Review
37690,ADD/ALT,Plan Review
37691,TREE/VEGETATION MAINT/RESTORE,No plan review
37692,NEW,Plan Review
37693,ADD/ALT,Plan Review
37694,NEW,Plan Review
37695,ADD/ALT,Plan Review
37696,ADD/ALT,Plan Review
37697,TREE/VEGETATION MAINT/RESTORE,No plan review
37698,ADD/ALT,Plan Review
37699,ADD/ALT,Plan Review
37700,ADD/ALT,Plan Review
37701,ADD/ALT,Plan Review
37702,NEW,Plan Review
37703,DEMOLITION,No plan review
37704,TREE/VEGETATION MAINT/RESTORE,No plan review
37705,ADD/ALT,Plan Review
37706,NEW,Plan Review
37707,NEW,Plan Review
37708,NEW,Plan Review
37709,NEW,Plan Review
37710,ADD/ALT,Plan Review
37711,ADD/ALT,Plan Review
37712,TEMP,Plan Review
37713,ALTER,Plan Review
37714,ALTER,Plan Review
37715,NEW,Plan Review
37716,ADD/ALT,No plan review
37717,NEW,Plan Review
37718,ADD/ALT,Plan Review
37719,ADD/ALT,Plan Review
37720,ADD/ALT,Plan Review
37721,DEMOLITION,No plan review
37722,ADD/ALT,Plan Review
37723,DEMOLITION,No plan review
37724,ADD/ALT,Plan Review
37725,NEW,Plan Review
37726,NEW,Plan Review
37727,TREE/VEGETATION MAINT/RESTORE,No plan review
37728,FLOODPLAIN LICENSE ONLY,Plan Review
37729,DEMOLITION,No plan review
37730,DEMOLITION,No plan review
37731,DEMOLITION,No plan review
37732,DEMOLITION,No plan review
37733,DEMOLITION,No plan review
37734,DEMOLITION,No plan review
37735,ALTER,Plan Review
37736,NEW,Plan Review
37737,NEW,Plan Review
37738,ADD/ALT,Plan Review
37739,ADD/ALT,Plan Review
37740,ADD/ALT,Plan Review
37741,TREE/VEGETATION MAINT/RESTORE,No plan review
37742,TREE/VEGETATION MAINT/RESTORE,No plan review
37743,TREE/VEGETATION MAINT/RESTORE,No plan review
37744,NEW,Plan Review
37745,ADD/ALT,Plan Review
37746,NEW,Plan Review
37747,TREE/VEGETATION MAINT/RESTORE,No plan review
37748,DEMOLITION,No plan review
37749,NEW,Plan Review
37750,ADD/ALT,Plan Review
37751,ADD/ALT,Plan Review
37752,GRADING,Plan Review
37753,NEW,Plan Review
37754,TREE/VEGETATION MAINT/RESTORE,No plan review
37755,NEW,Plan Review
37756,NEW,Plan Review
37757,NEW,Plan Review
37758,DEMOLITION,No plan review
37759,TREE/VEGETATION MAINT/RESTORE,No plan review
37760,NEW,Plan Review
37761,DEMOLITION,No plan review
37762,NEW,Plan Review
37763,NEW,Plan Review
37764,NEW,Plan Review
37765,NEW,Plan Review
37766,ADD/ALT,Plan Review
37767,TREE/VEGETATION MAINT/RESTORE,No plan review
37768,NEW,Plan Review
37769,NEW,Plan Review
37770,NEW,Plan Review
37771,NEW,Plan Review
37772,ADD/ALT,Plan Review
37773,NEW,Plan Review
37774,TREE/VEGETATION MAINT/RESTORE,No plan review
37775,ADD/ALT,Plan Review
37776,NEW,Plan Review
37777,DEMOLITION,No plan review
37778,NEW,Plan Review
37779,NEW,Plan Review
37780,TREE/VEGETATION MAINT/RESTORE,No plan review
37781,TREE/VEGETATION MAINT/RESTORE,No plan review
37782,ADD/ALT,Plan Review
37783,ADD/ALT,Plan Review
37784,NEW,Plan Review
37785,NEW,Plan Review
37786,ADD/ALT,Plan Review
37787,ADD/ALT,Plan Review
37788,DEMOLITION,Plan Review
37789,NEW,Plan Review
37790,ADD/ALT,Plan Review
37791,ADD/ALT,Plan Review
37792,NEW,Plan Review
37793,NEW,Plan Review
37794,NEW,Plan Review
37795,NEW,Plan Review
37796,NEW,Plan Review
37797,NEW,Plan Review
37798,NEW,Plan Review
37799,NEW,Plan Review
37800,NEW,Plan Review
37801,NEW,Plan Review
37802,NEW,Plan Review
37803,NEW,Plan Review
37804,NEW,Plan Review
37805,NEW,Plan Review
37806,NEW,Plan Review
37807,NEW,Plan Review
37808,NEW,Plan Review
37809,NEW,Plan Review
37810,NEW,Plan Review
37811,ADD/ALT,Plan Review
37812,TREE/VEGETATION MAINT/RESTORE,No plan review
37813,ADD/ALT,Plan Review
37814,TREE/VEGETATION MAINT/RESTORE,No plan review
37815,TREE/VEGETATION MAINT/RESTORE,No plan review
37816,TREE/VEGETATION MAINT/RESTORE,No plan review
37817,NEW,Plan Review
37818,ADD/ALT,Plan Review
37819,TREE/VEGETATION MAINT/RESTORE,No plan review
37820,ADD/ALT,Plan Review
37821,ADD/ALT,Plan Review
37822,ADD/ALT,Plan Review
37823,TREE/VEGETATION MAINT/RESTORE,No plan review
37824,NEW,Plan Review
37825,TREE/VEGETATION MAINT/RESTORE,No plan review
37826,TREE/VEGETATION MAINT/RESTORE,No plan review
37827,ADD/ALT,Plan Review
37828,NEW,Plan Review
37829,ADD/ALT,Plan Review
37830,NEW,Plan Review
37831,TREE/VEGETATION MAINT/RESTORE,No plan review
37832,TREE/VEGETATION MAINT/RESTORE,No plan review
37833,NEW,Plan Review
37834,ADD/ALT,Plan Review
37835,ADD/ALT,Plan Review
37836,NEW,Plan Review
37837,NEW,Plan Review
37838,ADD/ALT,Plan Review
37839,TREE/VEGETATION MAINT/RESTORE,No plan review
37840,TREE/VEGETATION MAINT/RESTORE,No plan review
37841,ADD/ALT,Plan Review
37842,NEW,Plan Review
37843,ADD/ALT,Plan Review
37844,ADD/ALT,Plan Review
37845,DEMOLITION,No plan review
37846,DEMOLITION,No plan review
37847,NEW,Plan Review
37848,NEW,Plan Review
37849,ADD/ALT,Plan Review
37850,TREE/VEGETATION MAINT/RESTORE,No plan review
37851,TREE/VEGETATION MAINT/RESTORE,No plan review
37852,TREE/VEGETATION MAINT/RESTORE,No plan review
37853,ADD/ALT,Plan Review
37854,ADD/ALT,Plan Review
37855,TEMP,Plan Review
37856,ADD/ALT,Plan Review
37857,ADD/ALT,Plan Review
37858,TREE/VEGETATION MAINT/RESTORE,No plan review
37859,ADD/ALT,Plan Review
37860,NEW,Plan Review
37861,ADD/ALT,Plan Review
37862,TREE/VEGETATION MAINT/RESTORE,No plan review
37863,TREE/VEGETATION MAINT/RESTORE,No plan review
37864,NEW,Plan Review
37865,NEW,Plan Review
37866,NEW,Plan Review
37867,TREE/VEGETATION MAINT/RESTORE,No plan review
37868,TEMP,Plan Review
37869,ADD/ALT,No plan review
37870,ADD/ALT,No plan review
37871,ADD/ALT,No plan review
37872,DRAINAGE APPROVAL,Plan Review
37873,ALTER,Plan Review
37874,ADD/ALT,Plan Review
37875,TREE/VEGETATION MAINT/RESTORE,No plan review
37876,ADD/ALT,Plan Review
37877,NEW,Plan Review
37878,DEMOLITION,No plan review
37879,NEW,Plan Review
37880,NEW,Plan Review
37881,TREE/VEGETATION MAINT/RESTORE,No plan review
37882,ADD/ALT,Plan Review
37883,TREE/VEGETATION MAINT/RESTORE,No plan review
37884,TREE/VEGETATION MAINT/RESTORE,No plan review
37885,TREE/VEGETATION MAINT/RESTORE,No plan review
37886,TREE/VEGETATION MAINT/RESTORE,No plan review
37887,TREE/VEGETATION MAINT/RESTORE,No plan review
37888,TREE/VEGETATION MAINT/RESTORE,No plan review
37889,ADD/ALT,Plan Review
37890,ADD/ALT,Plan Review
37891,NEW,Plan Review
37892,NEW,Plan Review
37893,DEMOLITION,No plan review
37894,DEMOLITION,No plan review
37895,DEMOLITION,No plan review
37896,NEW,Plan Review
37897,ADD/ALT,Plan Review
37898,ADD/ALT,Plan Review
37899,ADD/ALT,Plan Review
37900,TREE/VEGETATION MAINT/RESTORE,No plan review
37901,TREE/VEGETATION MAINT/RESTORE,No plan review
37902,NO CONSTRUCTION,Plan Review
37903,ADD/ALT,Plan Review
37904,NO CONSTRUCTION,Plan Review
37905,ADD/ALT,Plan Review
37906,TREE/VEGETATION MAINT/RESTORE,No plan review
37907,TREE/VEGETATION MAINT/RESTORE,No plan review
37908,TREE/VEGETATION MAINT/RESTORE,No plan review
37909,ADD/ALT,Plan Review
37910,NEW,Plan Review
37911,TREE/VEGETATION MAINT/RESTORE,No plan review
37912,DEMOLITION,No plan review
37913,ADD/ALT,Plan Review
37914,DEMOLITION,No plan review
37915,ADD/ALT,Plan Review
37916,ADD/ALT,Plan Review
37917,NEW,Plan Review
37918,TREE/VEGETATION MAINT/RESTORE,No plan review
37919,TREE/VEGETATION MAINT/RESTORE,No plan review
37920,TREE/VEGETATION MAINT/RESTORE,No plan review
37921,ADD/ALT,Plan Review
37922,ADD/ALT,Plan Review
37923,ADD/ALT,Plan Review
37924,TREE/VEGETATION MAINT/RESTORE,No plan review
37925,ADD/ALT,Plan Review
37926,TREE/VEGETATION MAINT/RESTORE,No plan review
37927,ADD/ALT,Plan Review
37928,ADD/ALT,Plan Review
37929,NEW,Plan Review
37930,NEW,Plan Review
37931,NEW,Plan Review
37932,DEMOLITION,No plan review
37933,DEMOLITION,No plan review
37934,TREE/VEGETATION MAINT/RESTORE,No plan review
37935,NEW,Plan Review
37936,NEW,Plan Review
37937,ADD/ALT,Plan Review
37938,ADD/ALT,Plan Review
37939,NEW,Plan Review
37940,NEW,Plan Review
37941,DEMOLITION,No plan review
37942,DEMOLITION,No plan review
37943,NEW,Plan Review
37944,ADD/ALT,Plan Review
37945,NEW,Plan Review
37946,TREE/VEGETATION MAINT/RESTORE,No plan review
37947,ADD/ALT,Plan Review
37948,ADD/ALT,Plan Review
37949,ADD/ALT,Plan Review
37950,ADD/ALT,Plan Review
37951,TREE/VEGETATION MAINT/RESTORE,No plan review
37952,NEW,Plan Review
37953,ADD/ALT,Plan Review
37954,ADD/ALT,Plan Review
37955,NEW,Plan Review
37956,NEW,Plan Review
37957,TREE/VEGETATION MAINT/RESTORE,No plan review
37958,TREE/VEGETATION MAINT/RESTORE,No plan review
37959,TREE/VEGETATION MAINT/RESTORE,No plan review
37960,TREE/VEGETATION MAINT/RESTORE,No plan review
37961,TREE/VEGETATION MAINT/RESTORE,No plan review
37962,DEMOLITION,No plan review
37963,TREE/VEGETATION MAINT/RESTORE,No plan review
37964,TREE/VEGETATION MAINT/RESTORE,No plan review
37965,TREE/VEGETATION MAINT/RESTORE,No plan review
37966,NEW,Plan Review
37967,NEW,Plan Review
37968,NEW,Plan Review
37969,ADD/ALT,Plan Review
37970,NEW,Plan Review
37971,TREE/VEGETATION MAINT/RESTORE,No plan review
37972,ADD/ALT,Plan Review
37973,TREE/VEGETATION MAINT/RESTORE,No plan review
37974,TREE/VEGETATION MAINT/RESTORE,No plan review
37975,ADD/ALT,Plan Review
37976,ADD/ALT,Plan Review
37977,ADD/ALT,Plan Review
37978,NO CONSTRUCTION,Plan Review
37979,TREE/VEGETATION MAINT/RESTORE,No plan review
37980,GRADING,Plan Review
37981,DEMOLITION,No plan review
37982,NEW,Plan Review
37983,TREE/VEGETATION MAINT/RESTORE,No plan review
37984,NEW,Plan Review
37985,TREE/VEGETATION MAINT/RESTORE,No plan review
37986,TREE/VEGETATION MAINT/RESTORE,No plan review
37987,ADD/ALT,Plan Review
37988,TREE/VEGETATION MAINT/RESTORE,No plan review
37989,ADD/ALT,Plan Review
37990,TREE/VEGETATION MAINT/RESTORE,No plan review
37991,ADD/ALT,Plan Review
37992,ADD/ALT,Plan Review
37993,ADD/ALT,Plan Review
37994,ADD/ALT,Plan Review
37995,ADD/ALT,Plan Review
37996,TREE/VEGETATION MAINT/RESTORE,No plan review
37997,ADD/ALT,Plan Review
37998,TREE/VEGETATION MAINT/RESTORE,No plan review
37999,ADD/ALT,Plan Review
38000,GRADING,Plan Review
38001,ADD/ALT,Plan Review
38002,TREE/VEGETATION MAINT/RESTORE,No plan review
38003,ADD/ALT,Plan Review
38004,ADD/ALT,Plan Review
38005,ADD/ALT,Plan Review
38006,ADD/ALT,Plan Review
38007,TREE/VEGETATION MAINT/RESTORE,No plan review
38008,ADD/ALT,Plan Review
38009,ADD/ALT,Plan Review
38010,NEW,Plan Review
38011,ADD/ALT,Plan Review
38012,NEW,Plan Review
38013,ADD/ALT,Plan Review
38014,TREE/VEGETATION MAINT/RESTORE,No plan review
38015,ADD/ALT,Plan Review
38016,GRADING,Plan Review
38017,GRADING,Plan Review
38018,GRADING,Plan Review
38019,TREE/VEGETATION MAINT/RESTORE,No plan review
38020,NEW,Plan Review
38021,ADD/ALT,Plan Review
38022,NEW,Plan Review
38023,NEW,Plan Review
38024,TREE/VEGETATION MAINT/RESTORE,No plan review
38025,NEW,Plan Review
38026,ADD/ALT,Plan Review
38027,TREE/VEGETATION MAINT/RESTORE,No plan review
38028,ADD/ALT,Plan Review
38029,TREE/VEGETATION MAINT/RESTORE,No plan review
38030,TREE/VEGETATION MAINT/RESTORE,No plan review
38031,TREE/VEGETATION MAINT/RESTORE,No plan review
38032,NEW,Plan Review
38033,NEW,Plan Review
38034,ADD/ALT,Plan Review
38035,ADD/ALT,Plan Review
38036,ADD/ALT,Plan Review
38037,ADD/ALT,Plan Review
38038,ADD/ALT,Plan Review
38039,ADD/ALT,Plan Review
38040,ADD/ALT,Plan Review
38041,ADD/ALT,Plan Review
38042,ADD/ALT,Plan Review
38043,ADD/ALT,Plan Review
38044,ADD/ALT,Plan Review
38045,NEW,Plan Review
38046,TREE/VEGETATION MAINT/RESTORE,No plan review
38047,ADD/ALT,Plan Review
38048,NEW,Plan Review
38049,ADD/ALT,Plan Review
38050,ADD/ALT,Plan Review
38051,ADD/ALT,Plan Review
38052,ADD/ALT,Plan Review
38053,ADD/ALT,Plan Review
38054,ADD/ALT,Plan Review
38055,ADD/ALT,Plan Review
38056,TREE/VEGETATION MAINT/RESTORE,No plan review
38057,ADD/ALT,Plan Review
38058,DEMOLITION,Plan Review
38059,NEW,Plan Review
38060,NEW,Plan Review
38061,NEW,Plan Review
38062,NEW,Plan Review
38063,ADD/ALT,Plan Review
38064,NEW,Plan Review
38065,NEW,Plan Review
38066,NEW,Plan Review
38067,TREE/VEGETATION MAINT/RESTORE,No plan review
38068,TREE/VEGETATION MAINT/RESTORE,No plan review
38069,NEW,Plan Review
38070,NEW,Plan Review
38071,NEW,Plan Review
38072,NEW,Plan Review
38073,ADD/ALT,No plan review
38074,ADD/ALT,Plan Review
38075,NEW,Plan Review
38076,NEW,Plan Review
38077,TREE/VEGETATION MAINT/RESTORE,No plan review
38078,ADD/ALT,Plan Review
38079,TREE/VEGETATION MAINT/RESTORE,No plan review
38080,NEW,Plan Review
38081,NEW,Plan Review
38082,ADD/ALT,Plan Review
38083,ADD/ALT,Plan Review
38084,ADD/ALT,Plan Review
38085,ADD/ALT,Plan Review
38086,ADD/ALT,Plan Review
38087,ADD/ALT,Plan Review
38088,NEW,Plan Review
38089,DEMOLITION,No plan review
38090,DEMOLITION,No plan review
38091,DEMOLITION,No plan review
38092,DEMOLITION,No plan review
38093,NEW,Plan Review
38094,NEW,Plan Review
38095,NEW,Plan Review
38096,GRADING,Plan Review
38097,ADD/ALT,Plan Review
38098,ADD/ALT,Plan Review
38099,NEW,Plan Review
38100,TREE/VEGETATION MAINT/RESTORE,No plan review
38101,ADD/ALT,Plan Review
38102,ADD/ALT,Plan Review
38103,NEW,Plan Review
38104,,No plan review
38105,ADD/ALT,Plan Review
38106,ADD/ALT,Plan Review
38107,ADD/ALT,Plan Review
38108,ADD/ALT,Plan Review
38109,ADD/ALT,Plan Review
38110,ADD/ALT,Plan Review
38111,NEW,Plan Review
38112,NEW,Plan Review
38113,ADD/ALT,Plan Review
38114,ADD/ALT,Plan Review
38115,,No plan review
38116,NEW,Plan Review
38117,TREE/VEGETATION MAINT/RESTORE,No plan review
38118,TREE/VEGETATION MAINT/RESTORE,No plan review
38119,TREE/VEGETATION MAINT/RESTORE,No plan review
38120,ADD/ALT,Plan Review
38121,ADD/ALT,Plan Review
38122,ADD/ALT,Plan Review
38123,ADD/ALT,Plan Review
38124,TREE/VEGETATION MAINT/RESTORE,No plan review
38125,ADD/ALT,Plan Review
38126,NEW,Plan Review
38127,TREE/VEGETATION MAINT/RESTORE,No plan review
38128,ADD/ALT,Plan Review
38129,TREE/VEGETATION MAINT/RESTORE,No plan review
38130,TREE/VEGETATION MAINT/RESTORE,No plan review
38131,TREE/VEGETATION MAINT/RESTORE,No plan review
38132,NEW,Plan Review
38133,TREE/VEGETATION MAINT/RESTORE,No plan review
38134,ADD/ALT,Plan Review
38135,DEMOLITION,No plan review
38136,TREE/VEGETATION MAINT/RESTORE,No plan review
38137,,No plan review
38138,NEW,Plan Review
38139,TREE/VEGETATION MAINT/RESTORE,No plan review
38140,TREE/VEGETATION MAINT/RESTORE,No plan review
38141,ADD/ALT,Plan Review
38142,TREE/VEGETATION MAINT/RESTORE,No plan review
38143,ADD/ALT,Plan Review
38144,TREE/VEGETATION MAINT/RESTORE,No plan review
38145,ADD/ALT,Plan Review
38146,ADD/ALT,Plan Review
38147,DEMOLITION,No plan review
38148,TREE/VEGETATION MAINT/RESTORE,No plan review
38149,ADD/ALT,Plan Review
38150,ADD/ALT,Plan Review
38151,ADD/ALT,Plan Review
38152,ADD/ALT,Plan Review
38153,ADD/ALT,Plan Review
38154,ADD/ALT,No plan review
38155,TREE/VEGETATION MAINT/RESTORE,No plan review
38156,NEW,Plan Review
38157,DEMOLITION,No plan review
38158,TREE/VEGETATION MAINT/RESTORE,No plan review
38159,TREE/VEGETATION MAINT/RESTORE,No plan review
38160,DEMOLITION,No plan review
38161,NEW,Plan Review
38162,NEW,Plan Review
38163,TREE/VEGETATION MAINT/RESTORE,No plan review
38164,TREE/VEGETATION MAINT/RESTORE,No plan review
38165,TREE/VEGETATION MAINT/RESTORE,No plan review
38166,ADD/ALT,Plan Review
38167,ADD/ALT,Plan Review
38168,NEW,Plan Review
38169,NEW,Plan Review
38170,ADD/ALT,Plan Review
38171,ADD/ALT,Plan Review
38172,ADD/ALT,Plan Review
38173,TREE/VEGETATION MAINT/RESTORE,No plan review
38174,TREE/VEGETATION MAINT/RESTORE,No plan review
38175,ADD/ALT,Plan Review
38176,TREE/VEGETATION MAINT/RESTORE,No plan review
38177,TREE/VEGETATION MAINT/RESTORE,No plan review
38178,TREE/VEGETATION MAINT/RESTORE,No plan review
38179,ADD/ALT,Plan Review
38180,NEW,Plan Review
38181,TREE/VEGETATION MAINT/RESTORE,No plan review
38182,ADD/ALT,Plan Review
38183,TREE/VEGETATION MAINT/RESTORE,No plan review
38184,NEW,Plan Review
38185,ADD/ALT,Plan Review
38186,NEW,Plan Review
38187,DEMOLITION,No plan review
38188,DEMOLITION,No plan review
38189,ADD/ALT,Plan Review
38190,ADD/ALT,Plan Review
38191,,No plan review
38192,ADD/ALT,Plan Review
38193,ADD/ALT,Plan Review
38194,ADD/ALT,No plan review
38195,ADD/ALT,Plan Review
38196,ADD/ALT,Plan Review
38197,DEMOLITION,No plan review
38198,NEW,Plan Review
38199,NEW,Plan Review
38200,ADD/ALT,Plan Review
38201,NEW,Plan Review
38202,DEMOLITION,No plan review
38203,,No plan review
38204,ALTER,Plan Review
38205,NEW,Plan Review
38206,ADD/ALT,Plan Review
38207,TREE/VEGETATION MAINT/RESTORE,No plan review
38208,TREE/VEGETATION MAINT/RESTORE,No plan review
38209,ADD/ALT,Plan Review
38210,DEMOLITION,No plan review
38211,ADD/ALT,Plan Review
38212,NEW,Plan Review
38213,DEMOLITION,No plan review
38214,NEW,Plan Review
38215,NEW,Plan Review
38216,DEMOLITION,No plan review
38217,NEW,Plan Review
38218,NEW,Plan Review
38219,DEMOLITION,No plan review
38220,NEW,Plan Review
38221,NEW,Plan Review
38222,NEW,Plan Review
38223,ADD/ALT,Plan Review
38224,TREE/VEGETATION MAINT/RESTORE,No plan review
38225,TREE/VEGETATION MAINT/RESTORE,No plan review
38226,TREE/VEGETATION MAINT/RESTORE,No plan review
38227,ADD/ALT,Plan Review
38228,ADD/ALT,Plan Review
38229,NEW,Plan Review
38230,ADD/ALT,Plan Review
38231,NEW,Plan Review
38232,,No plan review
38233,NEW,Plan Review
38234,TREE/VEGETATION MAINT/RESTORE,No plan review
38235,ADD/ALT,Plan Review
38236,ADD/ALT,Plan Review
38237,ADD/ALT,Plan Review
38238,TREE/VEGETATION MAINT/RESTORE,No plan review
38239,NEW,Plan Review
38240,NEW,Plan Review
38241,ADD/ALT,Plan Review
38242,ADD/ALT,Plan Review
38243,NEW,Plan Review
38244,ADD/ALT,Plan Review
38245,NEW,Plan Review
38246,ADD/ALT,Plan Review
38247,ADD/ALT,Plan Review
38248,NEW,Plan Review
38249,ADD/ALT,Plan Review
38250,,No plan review
38251,,No plan review
38252,NEW,Plan Review
38253,NEW,Plan Review
38254,NEW,Plan Review
38255,ALTER,Plan Review
